Unnamed: 0,r_free,ff,pdb,w_0,cif_name,N,J,job_id,cifs,w_1,rmsd
1053,0.3280092545038112,3766.535381449151,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J14/output_34/pdbs/280.pdb,1.0,0,1,1,14,0,,0.9503994924137108
1100,0.3147386670754167,9895.546655319293,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J15/output_217/pdbs/239.pdb,1.0,0,1,2,15,"0,1",,0.9255670726510564
1249,0.3327251471747601,3624.164161712796,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J16/output_153/pdbs/150.pdb,1.0,0,1,1,16,0,,0.8413622305204653
1252,0.312830938533574,9856.34731765754,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J17/output_244/pdbs/267.pdb,1.0,0,1,2,17,"0,1",,0.8551354568828913
1375,0.2797944660887936,4071.0974558227135,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J18/output_226/pdbs/271.pdb,1.0,0,1,1,18,0,,1.0112868224409404
1421,0.2693545608886071,3903.22361473488,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J19/output_92/pdbs/250.pdb,1.0,0,1,2,19,"0,1",,1.0191065042874676
1549,0.3455190080389784,9085.93961308768,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N1_J0/output_60/pdbs/193.pdb,0.3524049335775094,0,2,1,0,0,0.6475950664224905,0.3758396903710488
1550,0.3085200766654049,8963.031420760053,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N1_J1/output_191/pdbs/288.pdb,0.5767288334566552,0,2,2,1,"0,1",0.4232711665433448,0.3552039985415056
1683,0.3342545816244194,9338.998220385927,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N1_J2/output_128/pdbs/258.pdb,0.0482456036428775,0,2,1,2,0,0.9517543963571226,1.0485717743158032
1707,0.3281663746691775,9273.797216549969,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N1_J3/output_226/pdbs/277.pdb,0.9468339268825322,0,2,2,3,"0,1",0.0531660731174678,1.022559370952626
