,n,r_free_mean,r_free_std,ff_mean,ff_std,rmsd_mean,rmsd_std,n_out,j
0,0,0.3564871930855781,0.005714034876799234,1710.5802235312724,250.68205780590213,0.3875049854421654,0.01055176156885979,1.0,0
1,0,0.35341452619334446,0.004429607154872104,1735.5721565421843,239.72585248644467,0.38559654763142864,0.00988882695781974,2.0,0
2,0,0.35192317679872215,0.0038752559219965904,1755.5349776073185,225.53071495454788,0.384385825224357,0.009344876655582498,3.0,0
3,0,0.35099852805318443,0.0036821913230031976,1767.7111688008656,215.25570497246824,0.3840087066056083,0.008946540545116064,4.0,0
4,0,0.3502487832420719,0.0035109671938244914,1776.3795371948897,207.21230264857292,0.3834223027028911,0.008809396495414555,5.0,0
5,0,0.34968605722243384,0.0034261342422671442,1776.3377755440933,205.55516763024983,0.383493113733071,0.008927363130963647,6.0,0
6,0,0.3492219263423882,0.003340190876046634,1777.273491762736,206.20428529468697,0.3834295172529492,0.009175351982592776,7.0,0
7,0,0.3487716235280752,0.003366668869097951,1779.6333418940658,201.89682110228972,0.38363462670804094,0.009551425636303838,8.0,0
8,0,0.3484836007267388,0.0033729556403774685,1785.2451858673066,197.93530322421407,0.38360023844334257,0.009708969125339554,9.0,0
9,0,0.3482216205035038,0.0033843887862211215,1788.105025288579,197.61949051891713,0.383666566377171,0.009848147050452928,10.0,0
10,0,0.34788731708984166,0.003398482355013961,1788.9254864490724,197.3466035908107,0.38350911029266244,0.00987550492142056,11.0,0
11,0,0.3476651429462374,0.003392712840019484,1788.3998865777405,196.09457916108485,0.38336468610971663,0.010005323392058816,12.0,0
12,0,0.34742630781300354,0.0033816446872073466,1790.5864166851409,193.63303611249486,0.38348773138386494,0.010061389147502747,13.0,0
13,0,0.3471965340793254,0.0033564754471665887,1792.9889092588826,188.93172330489935,0.3835485104130925,0.010178553875800751,14.0,0
14,0,0.34704167335146063,0.003326679499159037,1793.8369233931944,187.72704243803219,0.38353517450926905,0.010285064298966246,15.0,0
15,0,0.34683371508391364,0.0032994722601030146,1796.7363284859648,183.19838847004732,0.3835463793828964,0.010331638843194834,16.0,0
16,0,0.3466941763747678,0.0032422033476426112,1799.0995763236215,181.30470535310093,0.38365957927108424,0.010415673020230122,17.0,0
17,0,0.34655187797636383,0.0032189986491686076,1798.1898258218343,181.56749559612658,0.38367742138512134,0.010525793973794259,18.0,0
18,0,0.3463670346376627,0.0032467736352733852,1798.5455146915788,176.30554191739395,0.3836623711809693,0.010580626646636303,19.0,0
19,0,0.3462053676929472,0.003223804903359325,1799.5853888912511,172.82455493824438,0.38348974453783957,0.010764917241136379,20.0,0
20,0,0.34605343243596626,0.0032083035135799442,1796.9355477513056,175.7472256938554,0.3834508496726949,0.010848675998068049,21.0,0
21,0,0.3459248373275159,0.0031884603249039117,1797.3567202881843,172.9815182323278,0.3833422391263128,0.010892275394087256,22.0,0
22,0,0.345788794469773,0.0031775958328784234,1800.8743058437626,167.32932044712288,0.3833238105017489,0.010991909612431254,23.0,0
23,0,0.3456662478067687,0.003153934079197206,1803.486393146846,164.86456701814657,0.3834209032307859,0.011016951016884073,24.0,0
24,0,0.3455203216978058,0.003125491048615875,1803.403792433381,162.34339834355592,0.3836468702709196,0.011233677542186559,25.0,0
25,0,0.34538352421294843,0.0031064657850056617,1805.6760168806045,155.59621769955316,0.38351441161586775,0.011360933053176021,26.0,0
26,0,0.3452732590749534,0.003069129180744231,1806.6494066180726,153.48230481726407,0.3836362975712051,0.011440192911983782,27.0,0
27,0,0.34515948996181595,0.0030404120276744566,1806.799407560728,152.61209369825585,0.38355462324124284,0.011506962637986513,28.0,0
28,0,0.3450570734711785,0.003011196210277096,1809.3844523311027,147.90511672960267,0.3834843694931743,0.011552007536489071,29.0,0
29,0,0.34497651889918046,0.0029919128116632247,1809.0893948493087,147.79901139123407,0.3834693644596954,0.011570189378635227,30.0,0
30,0,0.34492167221224745,0.0029783664912840205,1810.0346371280827,146.19488047391303,0.3835143261761896,0.011640324936611384,31.0,0
31,0,0.3448513145850258,0.0029742324434394837,1809.6352326864703,145.45562835581012,0.3837126174743352,0.011648518910258433,32.0,0
32,0,0.3447394906482389,0.0029710769481406597,1810.2533168859163,142.30498264194654,0.3837772436911448,0.011687900941490267,33.0,0
33,0,0.3446377387036471,0.0029452937380648582,1809.903680062078,143.56871480129251,0.383800628863492,0.011695995063114856,34.0,0
34,0,0.34456779766435197,0.002910641740282467,1810.9201645490955,142.54745680969654,0.38386246945107505,0.011680382314505144,35.0,0
35,0,0.34449487257986605,0.0028797658068626334,1812.656681331502,139.4551023168561,0.3839444735144864,0.011814958831157308,36.0,0
