,r_free,ff,rmsd,pdb,w_0,cif_name,n,N,j,J,cifs,out_dir_id,w_1
3029,0.3425013360657274,3192.0689132043767,0.3851313268753172,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_157/pdbs/98.pdb,1.0,0,0,1,12,1,0,157,
3030,0.3367442888433522,3235.148303949308,0.3736940547716059,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_153/pdbs/295.pdb,1.0,0,0,1,12,1,0,153,
3031,0.3427320781899647,3295.5502640640325,0.3693778891591614,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_164/pdbs/192.pdb,1.0,0,0,1,12,1,0,164,
3032,0.3440442901560461,3225.619053656031,0.3897597459476041,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_158/pdbs/179.pdb,1.0,0,0,1,12,1,0,158,
3033,0.3464667797774544,3198.847828894985,0.3737539967714514,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_11/pdbs/282.pdb,1.0,0,0,1,12,1,0,11,
3034,0.3463021629808106,3084.7408902964785,0.379108459633824,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_150/pdbs/44.pdb,1.0,0,0,1,12,1,0,150,
3035,0.3454992488748206,3182.920945960031,0.3797433825338214,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_149/pdbs/183.pdb,1.0,0,0,1,12,1,0,149,
3036,0.344659495839404,3182.6694926902637,0.3720848380827985,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_140/pdbs/222.pdb,1.0,0,0,1,12,1,0,140,
3037,0.3357162652111924,3135.6019824456016,0.3812466571858349,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_136/pdbs/280.pdb,1.0,0,0,1,12,1,0,136,
3038,0.3436646267537599,3127.275511090338,0.3747010654385278,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_139/pdbs/163.pdb,1.0,0,0,1,12,1,0,139,
3039,0.3428206268594356,3277.7561545578183,0.3856769109227505,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_166/pdbs/248.pdb,1.0,0,0,1,12,1,0,166,
3040,0.3415169213162867,3207.1960751189517,0.3910459249990015,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_98/pdbs/272.pdb,1.0,0,0,1,12,1,0,98,
3041,0.3445196613912941,3225.4042995824498,0.3745198971260013,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_10/pdbs/248.pdb,1.0,0,0,1,12,1,0,10,
3042,0.3413062541366017,3090.2116903079304,0.3732314883498707,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_167/pdbs/221.pdb,1.0,0,0,1,12,1,0,167,
3043,0.3415268480762263,3124.5201636404954,0.3600559194528998,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_52/pdbs/184.pdb,1.0,0,0,1,12,1,0,52,
3044,0.3420722343198427,3195.23776961396,0.366338077443494,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_177/pdbs/262.pdb,1.0,0,0,1,12,1,0,177,
3045,0.342273120302188,3132.4410561786294,0.3724474705582083,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_170/pdbs/190.pdb,1.0,0,0,1,12,1,0,170,
3046,0.3460449980687444,3171.3842662234024,0.3945815654319885,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_173/pdbs/294.pdb,1.0,0,0,1,12,1,0,173,
3047,0.3407073424070452,3241.2186653713475,0.3697773622757748,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_176/pdbs/261.pdb,1.0,0,0,1,12,1,0,176,
3048,0.3429553451659434,3174.230210823219,0.3788785956682068,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_180/pdbs/205.pdb,1.0,0,0,1,12,1,0,180,
3049,0.3451592893547041,3245.017874838983,0.3718638418566165,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_86/pdbs/255.pdb,1.0,0,0,1,12,1,0,86,
3050,0.3408419422744767,3125.975551190898,0.3900127418506033,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_174/pdbs/292.pdb,1.0,0,0,1,12,1,0,174,
3051,0.3323574711136887,3183.2717132018124,0.3743425899669945,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_175/pdbs/293.pdb,1.0,0,0,1,12,1,0,175,
3052,0.3448825256242401,3160.936190353719,0.3741696726020549,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_200/pdbs/293.pdb,1.0,0,0,1,12,1,0,200,
3053,0.3404417200683154,3145.454449497196,0.3827521827164462,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_100/pdbs/202.pdb,1.0,0,0,1,12,1,0,100,
3054,0.3391509998274931,3199.1415400553237,0.3815205611566201,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_194/pdbs/258.pdb,1.0,0,0,1,12,1,0,194,
3055,0.3455302445555011,3179.815289034589,0.3811076577388206,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_156/pdbs/137.pdb,1.0,0,0,1,12,1,0,156,
3056,0.3487960255824983,3112.144161014879,0.3731472210043854,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_191/pdbs/211.pdb,1.0,0,0,1,12,1,0,191,
3057,0.3499656664695181,3042.194615466937,0.3899579989158914,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_193/pdbs/298.pdb,1.0,0,0,1,12,1,0,193,
3058,0.3457361757526323,3268.1159292128823,0.3677587779581741,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_148/pdbs/233.pdb,1.0,0,0,1,12,1,0,148,
3059,0.3455794275008545,3168.8348730556318,0.3880709462471896,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_183/pdbs/225.pdb,1.0,0,0,1,12,1,0,183,
3060,0.3446919165100728,3262.8977422611924,0.3825543057282431,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_155/pdbs/298.pdb,1.0,0,0,1,12,1,0,155,
3061,0.3419712107060322,3283.17246982113,0.3788069347543384,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_47/pdbs/183.pdb,1.0,0,0,1,12,1,0,47,
3062,0.3439256374492335,3261.188720417231,0.3844369346355614,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_123/pdbs/244.pdb,1.0,0,0,1,12,1,0,123,
3063,0.3434872862255471,3221.6562362284603,0.3687717502487671,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/182_bench/N0_J12/output_169/pdbs/162.pdb,1.0,0,0,1,12,1,0,169,
