,N,J,w_xray,r_free,w_0_0,ff,pdb,cif_0,r_free_1,cif_1,w_1_0
15,1.0,2.0,0.25,0.2049367351686419,1.0,2520.2322293474485,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/186_w_xray_bench_ref_10000/124/output_3/pdbs/291.pdb,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_30/5/0.cif,0.2119197107138897,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_30/5/1.cif,
16,1.0,2.0,0.5,0.2984753906588316,1.0,3993.05626524112,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/186_w_xray_bench_ref_10000/147/output_1/pdbs/229.pdb,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_30/6/0.cif,0.297909201848538,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_30/6/1.cif,
17,1.0,2.0,0.5,0.2577417360774026,1.0,7271.733144527653,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/186_w_xray_bench_ref_10000/169/output_3/pdbs/264.pdb,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_30/7/0.cif,0.2717273072386285,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_30/7/1.cif,
18,1.0,2.0,0.5,0.2702515817792787,1.0,7486.372275234503,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/186_w_xray_bench_ref_10000/191/output_1/pdbs/257.pdb,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_30/8/0.cif,0.269013812574519,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_30/8/1.cif,
19,1.0,2.0,0.25,0.2049067451944992,1.0,2408.785005528911,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/186_w_xray_bench_ref_10000/212/output_2/pdbs/282.pdb,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_30/9/0.cif,0.206450517704167,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_30/9/1.cif,
20,2.0,1.0,1.0,0.2436874967649351,0.5188491343589255,24516.34908455589,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/186_w_xray_bench_ref_10000/225/output_3/pdbs/271.pdb,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_30/0/0.cif,,,0.4811508656410744
21,2.0,1.0,1.0,0.2088036743392977,0.400158035306474,15757.273636947964,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/186_w_xray_bench_ref_10000/247/output_4/pdbs/254.pdb,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_30/1/0.cif,,,0.599841964693526
22,2.0,1.0,1.0,0.2602800509051314,0.4755948307892412,14143.15732105386,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/186_w_xray_bench_ref_10000/269/output_4/pdbs/284.pdb,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_30/2/0.cif,,,0.5244051692107589
23,2.0,1.0,1.0,0.2717235502996165,0.5153885420722126,23175.52178475939,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/186_w_xray_bench_ref_10000/291/output_2/pdbs/243.pdb,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_30/3/0.cif,,,0.4846114579277873
24,2.0,1.0,0.5,0.24473534502145,0.3067172245780821,4157.428946680095,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/186_w_xray_bench_ref_10000/312/output_4/pdbs/275.pdb,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_30/4/0.cif,,,0.6932827754219179
25,2.0,1.0,1.0,0.1932281030184176,0.6287270904935731,14334.163573638432,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/186_w_xray_bench_ref_10000/335/output_0/pdbs/288.pdb,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_30/5/0.cif,,,0.3712729095064269
26,2.0,1.0,1.0,0.2544453562430774,0.4892575440533999,14221.59503108251,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/186_w_xray_bench_ref_10000/357/output_0/pdbs/281.pdb,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_30/6/0.cif,,,0.5107424559466002
27,2.0,1.0,0.5,0.2549022198086601,0.2793572512031,4994.923241016582,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/186_w_xray_bench_ref_10000/378/output_1/pdbs/265.pdb,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_30/7/0.cif,,,0.7206427487969
28,2.0,1.0,0.5,0.256437755675754,0.6054476388120449,4414.113727401653,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/186_w_xray_bench_ref_10000/400/output_3/pdbs/227.pdb,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_30/8/0.cif,,,0.3945523611879551
29,2.0,1.0,0.5,0.2021064351747666,0.1129613421486203,4953.841551178418,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/186_w_xray_bench_ref_10000/422/output_3/pdbs/282.pdb,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_30/9/0.cif,,,0.8870386578513797
30,2.0,2.0,0.5,0.2202817135509292,0.484477943910414,8663.758383200791,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/186_w_xray_bench_ref_10000/235/output_4/pdbs/279.pdb,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_30/0/0.cif,0.2126496537742134,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_30/0/1.cif,0.515522056089586
31,2.0,2.0,0.5,0.2004238443582629,0.2715687128526562,12588.975479537645,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/186_w_xray_bench_ref_10000/257/output_2/pdbs/271.pdb,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_30/1/0.cif,0.2030320238564066,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_30/1/1.cif,0.7284312871473438
32,2.0,2.0,0.5,0.2177860111215618,0.493412556826685,12026.283980218886,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/186_w_xray_bench_ref_10000/279/output_3/pdbs/271.pdb,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_30/2/0.cif,0.2084012622258393,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_30/2/1.cif,0.5065874431733149
33,2.0,2.0,0.5,0.2215520634182267,0.5702308792460368,12563.727863732358,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/186_w_xray_bench_ref_10000/301/output_3/pdbs/199.pdb,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_30/3/0.cif,0.2150942289299626,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_30/3/1.cif,0.4297691207539632
34,2.0,2.0,0.5,0.2177205230968658,0.4002097651228565,8878.334434697825,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/186_w_xray_bench_ref_10000/323/output_1/pdbs/278.pdb,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_30/4/0.cif,0.212550995369475,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_30/4/1.cif,0.5997902348771434
35,2.0,2.0,0.25,0.1931611782682552,0.8352093730525261,6675.609137171074,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/186_w_xray_bench_ref_10000/344/output_3/pdbs/248.pdb,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_30/5/0.cif,0.1946617991031908,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_30/5/1.cif,0.1647906269474739
36,2.0,2.0,0.5,0.2163083066060744,0.5106057045605668,9181.759486376672,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/186_w_xray_bench_ref_10000/367/output_4/pdbs/217.pdb,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_30/6/0.cif,0.2166321203480223,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_30/6/1.cif,0.4893942954394332
37,2.0,2.0,0.5,0.2138490103950447,0.5417097141075151,8730.454969489783,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/186_w_xray_bench_ref_10000/389/output_2/pdbs/278.pdb,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_30/7/0.cif,0.2163540707429782,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_30/7/1.cif,0.4582902858924849
38,2.0,2.0,0.5,0.2261548744207579,0.5345863690614961,9038.919824043722,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/186_w_xray_bench_ref_10000/411/output_0/pdbs/266.pdb,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_30/8/0.cif,0.2193518357307156,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_30/8/1.cif,0.4654136309385039
39,2.0,2.0,0.5,0.1939485114878172,0.6851010237001449,9489.533096679494,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/186_w_xray_bench_ref_10000/433/output_4/pdbs/299.pdb,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_30/9/0.cif,0.1863974019034093,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_30/9/1.cif,0.3148989762998551
