,N,J,w_xray,r_free,w_0_0,ff,pdb,cif_0,r_free_1,cif_1,w_1_0
0,1.0,1.0,0.03125,0.4542053007175129,1.0,1056.8052937466884,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/186_w_xray_bench_ref_10000/0/output_3/pdbs/16.pdb,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_30/0/0.cif,,,
1,1.0,1.0,0.0625,0.4354499680663911,1.0,697.0843470207628,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/186_w_xray_bench_ref_10000/1/output_4/pdbs/58.pdb,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_30/0/0.cif,,,
2,1.0,1.0,0.125,0.3913589638798838,1.0,1011.9956316840394,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/186_w_xray_bench_ref_10000/2/output_3/pdbs/277.pdb,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_30/0/0.cif,,,
3,1.0,1.0,0.25,0.3620456061405412,1.0,1208.575682449327,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/186_w_xray_bench_ref_10000/3/output_1/pdbs/224.pdb,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_30/0/0.cif,,,
4,1.0,1.0,0.5,0.3486257372135853,1.0,1330.145530552748,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/186_w_xray_bench_ref_10000/4/output_2/pdbs/296.pdb,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_30/0/0.cif,,,
5,1.0,1.0,1.0,0.3653722149628255,1.0,7715.097287150016,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/186_w_xray_bench_ref_10000/5/output_2/pdbs/143.pdb,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_30/0/0.cif,,,
6,1.0,1.0,2.0,0.4301213904249285,1.0,8433.776781207334,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/186_w_xray_bench_ref_10000/6/output_3/pdbs/18.pdb,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_30/0/0.cif,,,
7,1.0,1.0,4.0,0.435293127047686,1.0,7129.87459842285,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/186_w_xray_bench_ref_10000/7/output_2/pdbs/18.pdb,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_30/0/0.cif,,,
8,1.0,1.0,8.0,0.439477514898683,1.0,8967.051608833952,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/186_w_xray_bench_ref_10000/8/output_2/pdbs/19.pdb,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_30/0/0.cif,,,
9,1.0,1.0,16.0,0.437163950342524,1.0,9709.602764732092,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/186_w_xray_bench_ref_10000/9/output_0/pdbs/17.pdb,/wynton/home/sali/mhancock/xray/dev/29_synthetic_native_3/data/cifs/7mhf_30/0/0.cif,,,
