,index,job_id,cif_name,w_0,pdb,r_free,ff,N,J,w_1,w_2,w_3,w_4,w_5,w_6,w_7,delta,job_cif_str
2452,2452,15,7mhh,1.0,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/166_N1_ref_15/2452.pdb,0.2558578254741229,579.301611679175,1,2,,,,,,,,0.002857825474122888,"7mhh,7mhi"
8421,8423,37,7mhh,1.0,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/166_N1_ref_15/8423.pdb,0.2502061418919894,1237.2905931092284,1,3,,,,,,,,-0.002793858108010583,"7mhh,7mhi,7mhj"
15269,15271,55,7mhh,1.0,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/166_N1_ref_15/15271.pdb,0.2544467305307864,1463.054576802811,1,4,,,,,,,,0.001446730530786422,"7mhh,7mhi,7mhj,7mhk"
17724,17726,60,7mhh,1.0,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/166_N1_ref_15/17726.pdb,0.2635841135546045,1822.4843702831515,1,5,,,,,,,,0.01058411355460448,"7mhf,7mhh,7mhi,7mhj,7mhk"
18863,18865,62,7mhh,1.0,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/166_N1_ref_15/18865.pdb,0.2741921414124718,2604.6372310146826,1,6,,,,,,,,0.021192141412471777,"7mhf,7mhg,7mhh,7mhi,7mhj,7mhk"
113,113,1,7mhg,1.0,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/166_N1_ref_15/113.pdb,0.3313559523099489,389.2727244699847,1,1,,,,,,,,0.12635595230994892,7mhg
725,725,6,7mhg,1.0,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/166_N1_ref_15/725.pdb,0.3378394216668662,767.3764161369704,1,2,,,,,,,,0.13283942166686621,"7mhf,7mhg"
4096,4096,22,7mhg,1.0,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/166_N1_ref_15/4096.pdb,0.3353820676153859,828.0713290000701,1,3,,,,,,,,0.13038206761538593,"7mhf,7mhg,7mhi"
11314,11316,45,7mhg,1.0,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/166_N1_ref_15/11316.pdb,0.3412143108050812,1129.2864563587684,1,4,,,,,,,,0.1362143108050812,"7mhf,7mhg,7mhi,7mhk"
17237,17239,59,7mhg,1.0,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/166_N1_ref_15/17239.pdb,0.3528850997391012,1518.649902083563,1,5,,,,,,,,0.14788509973910122,"7mhf,7mhg,7mhi,7mhj,7mhk"
18777,18779,62,7mhg,1.0,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/166_N1_ref_15/18779.pdb,0.3607894703701431,2448.0186473441686,1,6,,,,,,,,0.1557894703701431,"7mhf,7mhg,7mhh,7mhi,7mhj,7mhk"
51,51,0,7mhf,1.0,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/166_N1_ref_15/51.pdb,0.3465596113162246,601.728541492588,1,1,,,,,,,,0.12255961131622459,7mhf
632,632,6,7mhf,1.0,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/166_N1_ref_15/632.pdb,0.3522510451603914,758.1833955307527,1,2,,,,,,,,0.1282510451603914,"7mhf,7mhg"
3639,3639,21,7mhf,1.0,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/166_N1_ref_15/3639.pdb,0.359521259132384,794.9842883396982,1,3,,,,,,,,0.13552125913238397,"7mhf,7mhg,7mhh"
10464,10466,43,7mhf,1.0,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/166_N1_ref_15/10466.pdb,0.3726321454903287,1155.0283408733596,1,4,,,,,,,,0.1486321454903287,"7mhf,7mhg,7mhh,7mhk"
16119,16121,57,7mhf,1.0,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/166_N1_ref_15/16121.pdb,0.38898722118087,1947.697804495559,1,5,,,,,,,,0.16498722118086998,"7mhf,7mhg,7mhh,7mhi,7mhk"
18625,18627,62,7mhf,1.0,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/166_N1_ref_15/18627.pdb,0.3956672295979533,2226.7053028450982,1,6,,,,,,,,0.1716672295979533,"7mhf,7mhg,7mhh,7mhi,7mhj,7mhk"
19758,560,5,7mhk,0.4422270775053118,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2_ref_15/560.pdb,0.2824084718562186,1337.8848666687786,2,1,0.5577729224946882,,,,,,,0.03540847185621859,7mhk
22512,3314,19,7mhk,0.5070646345824843,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2_ref_15/3314.pdb,0.2444189839082257,1493.468274358289,2,2,0.4929353654175157,,,,,,,-0.002581016091774302,"7mhi,7mhk"
25428,6230,29,7mhk,0.5154868622404469,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2_ref_15/6230.pdb,0.2460783458475804,2094.297481254313,2,3,0.484513137759553,,,,,,,-0.0009216541524195987,"7mhf,7mhi,7mhk"
32700,13502,50,7mhk,0.5129572768865537,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2_ref_15/13502.pdb,0.2444409316804241,2867.129400940931,2,4,0.4870427231134462,,,,,,,-0.002559068319575891,"7mhf,7mhi,7mhj,7mhk"
36736,17538,59,7mhk,0.518716950527634,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2_ref_15/17538.pdb,0.2457557471772002,3611.305534945384,2,5,0.4812830494723659,,,,,,,-0.0012442528227998018,"7mhf,7mhg,7mhi,7mhj,7mhk"
38335,19137,62,7mhk,0.4964054959022687,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2_ref_15/19137.pdb,0.2542948790096515,5573.190628248913,2,6,0.5035945040977313,,,,,,,0.007294879009651478,"7mhf,7mhg,7mhh,7mhi,7mhj,7mhk"
19660,462,4,7mhj,0.4644430129633944,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2_ref_15/462.pdb,0.2813503074992548,1097.4821669318558,2,1,0.5355569870366057,,,,,,,0.041350307499254835,7mhj
22326,3128,18,7mhj,0.4893477278437383,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2_ref_15/3128.pdb,0.2326545579225768,4323.808249591422,2,2,0.5106522721562616,,,,,,,-0.0073454420774231866,"7mhi,7mhj"
27799,8601,37,7mhj,0.4885029068252493,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2_ref_15/8601.pdb,0.2228117746606524,2370.670843257498,2,3,0.5114970931747507,,,,,,,-0.01718822533934758,"7mhh,7mhi,7mhj"
34636,15438,55,7mhj,0.5067831971233346,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2_ref_15/15438.pdb,0.2294279647525294,2942.7373794860887,2,4,0.4932168028766654,,,,,,,-0.01057203524747058,"7mhh,7mhi,7mhj,7mhk"
37133,17935,60,7mhj,0.4668563086911113,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2_ref_15/17935.pdb,0.2403598258096645,4158.597923489831,2,5,0.5331436913088887,,,,,,,0.00035982580966451017,"7mhf,7mhh,7mhi,7mhj,7mhk"
38225,19027,62,7mhj,0.5062948668275505,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2_ref_15/19027.pdb,0.2543517007447567,4733.812565936412,2,6,0.4937051331724494,,,,,,,0.014351700744756724,"7mhf,7mhg,7mhh,7mhi,7mhj,7mhk"
19513,315,3,7mhi,0.4734600588156205,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2_ref_15/315.pdb,0.2659924289686665,1251.040975578315,2,1,0.5265399411843795,,,,,,,0.037992428968666475,7mhi
22217,3019,18,7mhi,0.5419611287068146,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2_ref_15/3019.pdb,0.2240755349413207,1929.3832083513207,2,2,0.4580388712931855,,,,,,,-0.0039244650586792995,"7mhi,7mhj"
28498,9300,40,7mhi,0.4896319400527835,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2_ref_15/9300.pdb,0.217179235311353,1942.128424607364,2,3,0.5103680599472166,,,,,,,-0.010820764688647011,"7mhi,7mhj,7mhk"
34501,15303,55,7mhi,0.5024649722318779,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2_ref_15/15303.pdb,0.2136125361527183,3140.457243859065,2,4,0.497535027768122,,,,,,,-0.014387463847281706,"7mhh,7mhi,7mhj,7mhk"
37004,17806,60,7mhi,0.4524400156896166,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2_ref_15/17806.pdb,0.2114575093137313,12226.98563000378,2,5,0.5475599843103834,,,,,,,-0.0165424906862687,"7mhf,7mhh,7mhi,7mhj,7mhk"
38144,18946,62,7mhi,0.5558470294550546,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2_ref_15/18946.pdb,0.2369242916056021,4147.01367041704,2,6,0.4441529705449454,,,,,,,0.008924291605602097,"7mhf,7mhg,7mhh,7mhi,7mhj,7mhk"
19428,230,2,7mhh,0.4847911082216966,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2_ref_15/230.pdb,0.2845557153540631,428.7959866167696,2,1,0.5152088917783034,,,,,,,0.031555715354063096,7mhh
21803,2605,16,7mhh,0.5556587148572794,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2_ref_15/2605.pdb,0.2315583394947465,1749.4639834148195,2,2,0.4443412851427207,,,,,,,-0.021441660505253507,"7mhh,7mhj"
27600,8402,37,7mhh,0.4982412084506589,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2_ref_15/8402.pdb,0.2199413767189925,2863.5306939298007,2,3,0.5017587915493411,,,,,,,-0.033058623281007504,"7mhh,7mhi,7mhj"
34423,15225,55,7mhh,0.4961864982577342,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2_ref_15/15225.pdb,0.2266207707326469,2822.455951066303,2,4,0.5038135017422657,,,,,,,-0.026379229267353116,"7mhh,7mhi,7mhj,7mhk"
35009,15811,56,7mhh,0.457038162589646,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/167_N2_ref_15/15811.pdb,0.2391136955994452,16496.56808533963,2,5,0.542961837410354,,,,,,,-0.0138863044005548,"7mhf,7mhg,7mhh,7mhi,7mhj"
