,N,J,w_xray,r_free_7mhf+r_free_7mhg,rmsd,r_free_7mhf,r_work_7mhf,xray_7mhf,r_free_7mhg,r_work_7mhg,xray_7mhg,ff,pdb,w_0_7mhf,w_0_7mhg,w_1_7mhf,w_1_7mhg,cif_0,cif_1,r_free_7mhf+r_free_7mhh,r_free_7mhh,r_work_7mhh,xray_7mhh,w_0_7mhh,w_1_7mhh,r_free_7mhf+r_free_7mhi,r_free_7mhi,r_work_7mhi,xray_7mhi,w_0_7mhi,w_1_7mhi,r_free_7mhf+r_free_7mhj,r_free_7mhj,r_work_7mhj,xray_7mhj,w_0_7mhj,w_1_7mhj,r_free_7mhf+r_free_7mhk,r_free_7mhk,r_work_7mhk,xray_7mhk,w_0_7mhk,w_1_7mhk,r_free_7mhg+r_free_7mhh,r_free_7mhg+r_free_7mhi,r_free_7mhg+r_free_7mhj,r_free_7mhg+r_free_7mhk,r_free_7mhh+r_free_7mhi,r_free_7mhh+r_free_7mhj,r_free_7mhh+r_free_7mhk,r_free_7mhi+r_free_7mhj,r_free_7mhi+r_free_7mhk,r_free_7mhj+r_free_7mhk
10,2.0,2.0,0.5,,,,,,,,,11163.341617710614,/wynton/group/sali/mhancock/xray/sample_bench/out/280_exp_all_2_ref/10/output_354/pdbs/448.pdb,,,,,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhh.cif,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhj.cif,,0.3120988389432935,0.1953973318216247,5.891756636644028,0.7525305997747362,0.2474694002252637,,,,,,,,0.299619326445149,0.1983673185646116,5.481990009675964,0.4562585738994823,0.5437414261005178,,,,,,,,,,,,0.6117181653884425,,,,
11,2.0,2.0,0.5,,,,,,,,,12179.531578409542,/wynton/group/sali/mhancock/xray/sample_bench/out/280_exp_all_2_ref/11/output_279/pdbs/162.pdb,,,,,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhh.cif,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhk.cif,,0.3000461178038887,0.20199435781116,5.868506170153868,0.533189761705839,0.4668102382941609,,,,,,,,,,,,,,0.3072089207606288,0.2164410183258008,5.433407062089977,0.6079325675780763,0.3920674324219237,,,,,,,0.6072550385645175,,,
12,2.0,2.0,0.5,,,,,,,,,10380.17081850087,/wynton/group/sali/mhancock/xray/sample_bench/out/280_exp_all_2_ref/12/output_82/pdbs/386.pdb,,,,,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhi.cif,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhj.cif,,,,,,,,0.2894619980770802,0.1875490672871176,5.33218023608116,0.4466525975638147,0.5533474024361853,,0.2896979482624805,0.1865835193931569,5.439500093855638,0.4605135644456551,0.5394864355543448,,,,,,,,,,,,,,0.5791599463395607,,
13,2.0,2.0,0.5,,,,,,,,,9630.309485657315,/wynton/group/sali/mhancock/xray/sample_bench/out/280_exp_all_2_ref/13/output_329/pdbs/346.pdb,,,,,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhi.cif,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhk.cif,,,,,,,,0.2842901261688585,0.1974078641961245,5.351997981576544,0.3927541908785514,0.6072458091214487,,,,,,,,0.2930793479363934,0.2068645712004098,5.3911975769862135,0.5098938263920381,0.490106173607962,,,,,,,,,0.577369474105252,
14,2.0,2.0,0.5,,,,,,,,,10788.243232777391,/wynton/group/sali/mhancock/xray/sample_bench/out/280_exp_all_2_ref/14/output_23/pdbs/306.pdb,,,,,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhj.cif,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhk.cif,,,,,,,,,,,,,,0.3033553294870765,0.2043795077708128,5.493756158416989,0.5068173685725177,0.4931826314274822,,0.3005673514500925,0.2078529446886781,5.409267633626593,0.3317171223825597,0.6682828776174402,,,,,,,,,,0.6039226809371689
15,2.0,1.0,0.5,,,0.286523060781459,0.2324131216109771,5.260162365971173,,,,6172.224815234623,/wynton/group/sali/mhancock/xray/sample_bench/out/280_exp_all_2_ref/15/output_158/pdbs/497.pdb,0.4462597275965441,,0.553740272403456,,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhf.cif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2.0,1.0,0.5,,,,,,0.2859944163234408,0.2313893520133245,5.211498007254153,6288.802039952884,/wynton/group/sali/mhancock/xray/sample_bench/out/280_exp_all_2_ref/16/output_19/pdbs/362.pdb,,0.5755898970039959,,0.4244101029960041,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhg.cif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2.0,1.0,0.5,,,,,,,,,15325.363613449746,/wynton/group/sali/mhancock/xray/sample_bench/out/280_exp_all_2_ref/17/output_320/pdbs/263.pdb,,,,,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhh.cif,,,0.320307188280971,0.1817530519813418,5.879837902548274,0.5062071999602532,0.4937928000397468,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2.0,1.0,0.5,,,,,,,,,10178.772467287528,/wynton/group/sali/mhancock/xray/sample_bench/out/280_exp_all_2_ref/18/output_297/pdbs/131.pdb,,,,,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhi.cif,,,,,,,,,0.2838585018469879,0.1848532644987047,5.332111598337881,0.5400967050874301,0.4599032949125698,,,,,,,,,,,,,,,,,,,,,,
19,2.0,1.0,0.5,,,,,,,,,15376.65684601778,/wynton/group/sali/mhancock/xray/sample_bench/out/280_exp_all_2_ref/19/output_300/pdbs/443.pdb,,,,,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhj.cif,,,,,,,,,,,,,,,0.3009959157931501,0.1795955529005736,5.450650445823954,0.5051804052221822,0.4948195947778178,,,,,,,,,,,,,,,,
20,2.0,1.0,0.5,,,,,,,,,13211.046790065731,/wynton/group/sali/mhancock/xray/sample_bench/out/280_exp_all_2_ref/20/output_335/pdbs/466.pdb,,,,,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhk.cif,,,,,,,,,,,,,,,,,,,,,0.3066181868041427,0.1940569479534278,5.361861508808246,0.5338995410988254,0.4661004589011746,,,,,,,,,,
