,state_id,job_id,w_xray_id,field,r_free_0,ff,pdb,r_free_1,w_xray,N
312,1.0,8.0,4.0,0.2251133126596992,0.2251133126596992,7248.633507716322,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/184_w_xray_bench/N1_J8_W4/output_0/pdbs/292.pdb,,0.5,2
322,1.0,9.0,3.0,0.2140868609269498,0.2140868609269498,7487.089815903605,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/184_w_xray_bench/N1_J9_W3/output_3/pdbs/234.pdb,0.2258935793382757,0.25,2
333,1.0,10.0,3.0,0.2080262682320201,0.2080262682320201,8166.367891448161,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/184_w_xray_bench/N1_J10_W3/output_4/pdbs/288.pdb,,0.25,2
344,1.0,11.0,3.0,0.2070671058828835,0.2070671058828835,9002.581410151539,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/184_w_xray_bench/N1_J11_W3/output_2/pdbs/212.pdb,0.2218968224618969,0.25,2
356,1.0,12.0,4.0,0.221814713885047,0.221814713885047,8398.426706974918,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/184_w_xray_bench/N1_J12_W4/output_0/pdbs/245.pdb,,0.5,2
366,1.0,13.0,3.0,0.2144712296158466,0.2144712296158466,8987.57716336938,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/184_w_xray_bench/N1_J13_W3/output_2/pdbs/251.pdb,0.2234588632859827,0.25,2
378,1.0,14.0,4.0,0.226679128663939,0.226679128663939,7679.56488032209,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/184_w_xray_bench/N1_J14_W4/output_2/pdbs/276.pdb,,0.5,2
388,1.0,15.0,3.0,0.2266603475800058,0.2266603475800058,8408.012600785976,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/184_w_xray_bench/N1_J15_W3/output_1/pdbs/100.pdb,0.2452698464925833,0.25,2
400,1.0,16.0,4.0,0.2295824123841744,0.2295824123841744,7741.587834868723,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/184_w_xray_bench/N1_J16_W4/output_3/pdbs/268.pdb,,0.5,2
410,1.0,17.0,3.0,0.2225311308361812,0.2225311308361812,8007.624704807706,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/184_w_xray_bench/N1_J17_W3/output_0/pdbs/235.pdb,0.2289043233301009,0.25,2
421,1.0,18.0,3.0,0.2038718892952118,0.2038718892952118,7860.01718023904,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/184_w_xray_bench/N1_J18_W3/output_4/pdbs/288.pdb,,0.25,2
431,1.0,19.0,2.0,0.2002065685347101,0.2002065685347101,8181.26733405321,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/184_w_xray_bench/N1_J19_W2/output_1/pdbs/231.pdb,0.2125064294519369,0.125,2
