,xray_0_min_0,xray_0_min_0_pdb,xray_0_min_0_rmsd,xray_0_min_0_r_free_0
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/57_sb_2x_0/9711734/output_0/log.csv,4.003469345979488,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/57_sb_2x_0/9711734/output_0/pdbs/177.pdb,0.2024534243482938,0.0864553076369327
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/57_sb_2x_0/9711734/output_1/log.csv,3.9940429305184666,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/57_sb_2x_0/9711734/output_1/pdbs/144.pdb,0.1524608912205217,0.0863911449030005
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/57_sb_2x_0/9711734/output_12/log.csv,3.771639016840709,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/57_sb_2x_0/9711734/output_12/pdbs/191.pdb,0.1084971139490289,0.0661814756547101
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/57_sb_2x_0/9711734/output_13/log.csv,3.875113866298772,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/57_sb_2x_0/9711734/output_13/pdbs/198.pdb,0.1482559723196514,0.0764404014700815
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/57_sb_2x_0/9711734/output_11/log.csv,3.8068375169675432,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/57_sb_2x_0/9711734/output_11/pdbs/178.pdb,0.1098167623433087,0.0717254455672037
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/57_sb_2x_0/9711734/output_25/log.csv,4.076655004082867,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/57_sb_2x_0/9711734/output_25/pdbs/198.pdb,0.1205548502586627,0.0895240729954855
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/57_sb_2x_0/9711734/output_10/log.csv,3.733157972149411,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/57_sb_2x_0/9711734/output_10/pdbs/200.pdb,0.1368686364556695,0.0667142409865778
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/57_sb_2x_0/9711734/output_9/log.csv,4.090638366263121,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/57_sb_2x_0/9711734/output_9/pdbs/199.pdb,0.1601647645545696,0.094551674653742
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/57_sb_2x_0/9711734/output_26/log.csv,3.8916035082704297,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/57_sb_2x_0/9711734/output_26/pdbs/195.pdb,0.1600864699047556,0.0752763146881811
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/57_sb_2x_0/9711734/output_2/log.csv,3.8901893757558335,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/57_sb_2x_0/9711734/output_2/pdbs/199.pdb,0.1114581164584911,0.0771225307784848
