,N,J,w_xray,r_free,w_0_7mhl,r_work_7mhl,ff,pdb,cif_0,w_1_7mhl,w_2_7mhl,w_3_7mhl,w_4_7mhl,w_5_7mhl,w_6_7mhl,w_7_7mhl,r_free_7mhm,r_work_7mhm,cif_1
26,8.0,1.0,10000.0,0.2022860585226487,0.1914921885044093,0.1906724189923274,9724.948597031049,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/222_wxray/26/output_7/pdbs/237.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,0.1211953516820933,0.0376266912491773,0.0362394556913244,0.1757480913497438,0.1488586708492451,0.0610816494621404,0.2277579012118661,,,
27,8.0,1.0,100000.0,0.2032410561127391,0.125,0.1967267463846889,27995.99912058738,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/222_wxray/27/output_7/pdbs/5.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,0.125,0.125,0.125,0.125,0.125,0.125,0.125,,,
29,1.0,2.0,1.0,0.316385046721751,1.0,0.3237105912339979,573.6487872800965,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/222_wxray/29/output_9/pdbs/1.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,,,,,,,,0.3372083367423324,0.3439626483519726,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhm.cif
30,1.0,2.0,10.0,0.3160449973435458,1.0,0.3231642500730029,584.7129858311173,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/222_wxray/30/output_3/pdbs/1.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,,,,,,,,0.3379427250201239,0.3441176578511044,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhm.cif
31,1.0,2.0,100.0,0.3147489661231552,1.0,0.3216583374403152,577.4138228310837,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/222_wxray/31/output_0/pdbs/1.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,,,,,,,,0.3380331476249257,0.3433011773378647,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhm.cif
32,1.0,2.0,1000.0,0.3183456851244747,1.0,0.322341410729649,565.303086891581,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/222_wxray/32/output_8/pdbs/1.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,,,,,,,,0.3390337609450199,0.3426596313287743,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhm.cif
33,1.0,2.0,10000.0,0.2705108878619887,1.0,0.2718490091241128,2426.809996688862,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/222_wxray/33/output_4/pdbs/294.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,,,,,,,,0.258317290793986,0.2556352341297671,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhm.cif
34,1.0,2.0,100000.0,0.2801712554659735,1.0,0.265285566531679,12416.937818717215,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/222_wxray/34/output_2/pdbs/18.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,,,,,,,,0.2759740452010087,0.2554483548931665,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhm.cif
35,1.0,2.0,1000000.0,0.3195434923835926,1.0,0.2871521193053532,46506.45220584371,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/222_wxray/35/output_9/pdbs/1.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,,,,,,,,0.3168280715806296,0.2764959292835107,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhm.cif
36,2.0,2.0,1.0,0.3144268046747422,0.5,0.3186469405184055,1149.6016874239967,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/222_wxray/36/output_8/pdbs/1.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,0.5,,,,,,,0.3378543177214312,0.3398671625114599,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhm.cif
37,2.0,2.0,10.0,0.3125806370048344,0.5,0.3195866896406515,1187.0913678599038,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/222_wxray/37/output_0/pdbs/1.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,0.5,,,,,,,0.3398749592749723,0.3409070140678699,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhm.cif
38,2.0,2.0,100.0,0.3144877446023496,0.5,0.3195391303189558,1130.645507878591,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/222_wxray/38/output_4/pdbs/1.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,0.5,,,,,,,0.3366190828560271,0.3413160263892018,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhm.cif
39,2.0,2.0,1000.0,0.313813490530398,0.5,0.3185736068298528,1165.1285686618835,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/222_wxray/39/output_0/pdbs/1.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,0.5,,,,,,,0.3376450613244196,0.3398719085137643,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhm.cif
40,2.0,2.0,10000.0,0.2251046381663175,0.5432925075970847,0.2207188507453635,4908.039284008483,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/222_wxray/40/output_3/pdbs/395.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,0.4567074924029153,,,,,,,0.2062614676189827,0.2029865553030493,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhm.cif
41,2.0,2.0,100000.0,0.2353687319524111,0.5076008644419452,0.2189717265865268,28248.655088176987,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/222_wxray/41/output_7/pdbs/67.pdb,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhl.cif,0.4923991355580548,,,,,,,0.2191055242537925,0.2055492654006292,/wynton/home/sali/mhancock/xray/dev/39_bench_ensemble/data/cifs/7mhm.cif
