,state_id,job_id,w_xray_id,field,w_0_0,r_free_0,ff,pdb,r_free_1,w_1_0
24,0.0,2.0,2.0,0.3537959513610273,1.0,0.3537959513610273,1947.0068629756047,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench/N0_J2_W2/output_4/pdbs/224.pdb,,
25,0.0,2.0,3.0,0.2654613624550193,1.0,0.2654613624550193,2449.9423555604426,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench/N0_J2_W3/output_0/pdbs/287.pdb,,
26,0.0,2.0,4.0,0.2105169390909907,1.0,0.2105169390909907,3978.867321672679,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench/N0_J2_W4/output_0/pdbs/298.pdb,,
27,0.0,2.0,5.0,0.2316675895168369,1.0,0.2316675895168369,14835.297551678908,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench/N0_J2_W5/output_3/pdbs/297.pdb,,
28,0.0,2.0,6.0,0.4806840793603499,1.0,0.4806840793603499,402807.9748294994,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench/N0_J2_W6/output_1/pdbs/11.pdb,,
29,0.0,2.0,7.0,0.5003588719928131,1.0,0.5003588719928131,661174.5881424868,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench/N0_J2_W7/output_1/pdbs/10.pdb,,
30,0.0,2.0,8.0,0.5094991356525178,1.0,0.5094991356525178,857229.4058076937,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench/N0_J2_W8/output_3/pdbs/10.pdb,,
31,0.0,2.0,9.0,0.5031475216609047,1.0,0.5031475216609047,71235688.84676553,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench/N0_J2_W9/output_1/pdbs/21.pdb,,
32,0.0,2.0,10.0,0.5078377945052482,1.0,0.5078377945052482,2364023.835554101,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench/N0_J2_W10/output_2/pdbs/12.pdb,,
33,0.0,3.0,0.0,0.4300534312017668,1.0,0.4300534312017668,1983.258353387244,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench/N0_J3_W0/output_2/pdbs/238.pdb,0.4299721450671276,
34,0.0,3.0,1.0,0.3512382933998169,1.0,0.3512382933998169,1901.0103324488864,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench/N0_J3_W1/output_0/pdbs/293.pdb,0.3519330086021821,
35,0.0,3.0,2.0,0.2637094970656621,1.0,0.2637094970656621,2367.174320106145,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench/N0_J3_W2/output_2/pdbs/294.pdb,0.2800280075573549,
36,0.0,3.0,3.0,0.2242656433747757,1.0,0.2242656433747757,3610.616762774781,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench/N0_J3_W3/output_0/pdbs/212.pdb,0.2501673251128627,
37,0.0,3.0,4.0,0.1925852013032169,1.0,0.1925852013032169,7877.444868782864,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench/N0_J3_W4/output_0/pdbs/295.pdb,0.2279199387601417,
38,0.0,3.0,5.0,0.310954955309938,1.0,0.310954955309938,241271.244418106,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench/N0_J3_W5/output_2/pdbs/244.pdb,0.326824643895425,
39,0.0,3.0,6.0,0.312548884289461,1.0,0.312548884289461,1162174.5648805404,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench/N0_J3_W6/output_1/pdbs/19.pdb,0.4427942238242612,
40,0.0,3.0,7.0,0.3234199802509147,1.0,0.3234199802509147,1425039.4535827695,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench/N0_J3_W7/output_4/pdbs/15.pdb,0.4540912051854105,
41,0.0,3.0,8.0,0.3282714135038724,1.0,0.3282714135038724,2804096.2615498407,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench/N0_J3_W8/output_0/pdbs/15.pdb,0.4681129998639728,
42,0.0,3.0,9.0,0.3404973563051736,1.0,0.3404973563051736,1460319253.7036889,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench/N0_J3_W9/output_1/pdbs/16.pdb,0.4698506428820307,
43,0.0,3.0,10.0,0.3476630352664299,1.0,0.3476630352664299,27303307.558140237,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench/N0_J3_W10/output_3/pdbs/11.pdb,0.4641231587923716,
44,0.0,4.0,0.0,0.4709870401558326,1.0,0.4709870401558326,1968.5148847610649,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench/N0_J4_W0/output_2/pdbs/153.pdb,,
45,0.0,4.0,1.0,0.4333104962901823,1.0,0.4333104962901823,1949.777864667314,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench/N0_J4_W1/output_0/pdbs/117.pdb,,
46,0.0,4.0,2.0,0.3765567379704478,1.0,0.3765567379704478,1900.5780731200816,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench/N0_J4_W2/output_2/pdbs/296.pdb,,
47,0.0,4.0,3.0,0.3318576740602049,1.0,0.3318576740602049,2070.001101169772,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench/N0_J4_W3/output_4/pdbs/278.pdb,,
48,0.0,4.0,4.0,0.3198871948140976,1.0,0.3198871948140976,3151.8281982946423,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench/N0_J4_W4/output_2/pdbs/239.pdb,,
49,0.0,4.0,5.0,0.3227109648353242,1.0,0.3227109648353242,19912.13995833556,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench/N0_J4_W5/output_3/pdbs/298.pdb,,
50,0.0,4.0,6.0,0.4578962963789521,1.0,0.4578962963789521,545682.0810296789,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench/N0_J4_W6/output_0/pdbs/14.pdb,,
51,0.0,4.0,7.0,0.4848954785379228,1.0,0.4848954785379228,649844.2668226904,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench/N0_J4_W7/output_3/pdbs/10.pdb,,
52,0.0,4.0,8.0,0.4869939728654879,1.0,0.4869939728654879,1941582.941470894,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench/N0_J4_W8/output_1/pdbs/18.pdb,,
53,0.0,4.0,9.0,0.4882575460895968,1.0,0.4882575460895968,1208687.9127797943,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench/N0_J4_W9/output_0/pdbs/11.pdb,,
54,0.0,4.0,10.0,0.4924210067491098,1.0,0.4924210067491098,1375744.7062353236,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench/N0_J4_W10/output_4/pdbs/10.pdb,,
55,0.0,5.0,0.0,0.4201743357446279,1.0,0.4201743357446279,1978.1551855107284,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench/N0_J5_W0/output_3/pdbs/150.pdb,0.4351512296170413,
56,0.0,5.0,1.0,0.353291115956551,1.0,0.353291115956551,1928.4190803386796,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench/N0_J5_W1/output_1/pdbs/283.pdb,0.3778916905357493,
57,0.0,5.0,2.0,0.3044949866377881,1.0,0.3044949866377881,2033.3582815447069,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench/N0_J5_W2/output_2/pdbs/234.pdb,0.3259141434658955,
58,0.0,5.0,3.0,0.2871218663439843,1.0,0.2871218663439843,3050.9923569367115,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench/N0_J5_W3/output_0/pdbs/279.pdb,0.292424762127837,
59,0.0,5.0,4.0,0.2740751954366379,1.0,0.2740751954366379,7087.357444176059,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench/N0_J5_W4/output_1/pdbs/266.pdb,0.2733648642055176,
60,0.0,5.0,5.0,0.3203314564216352,1.0,0.3203314564216352,347818.8121431662,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench/N0_J5_W5/output_2/pdbs/300.pdb,0.3441085078184349,
61,0.0,5.0,6.0,0.3066783292383871,1.0,0.3066783292383871,932373.7291909124,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench/N0_J5_W6/output_0/pdbs/15.pdb,0.4358012422914721,
62,0.0,5.0,7.0,0.3115761246995238,1.0,0.3115761246995238,1676598.3001620583,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench/N0_J5_W7/output_2/pdbs/17.pdb,0.4645094602502874,
63,0.0,5.0,8.0,0.3176967703299874,1.0,0.3176967703299874,5900827.234852378,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench/N0_J5_W8/output_4/pdbs/15.pdb,0.4609669454475306,
64,0.0,5.0,9.0,0.3257716259873776,1.0,0.3257716259873776,96721370.45208856,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/180_wxray_bench/N0_J5_W9/output_3/pdbs/11.pdb,0.4652017250653212,
