,xray_0_min_0,xray_0_min_0_rmsd_avg,xray_0_min_0_r_work_0,xray_0_min_0_r_free_0,xray_0_min_0_pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/55_7mhf_1/986718/output_59/log.csv,5.33476656313097,0.2190429095657086,0.233020603470162,0.2761043854180052,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/55_7mhf_1/986718/output_59/pdbs/177.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/55_7mhf_1/986718/output_0/log.csv,5.335459819089509,0.213374681432885,0.2328697205169149,0.2772943183863718,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/55_7mhf_1/986718/output_0/pdbs/170.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/55_7mhf_1/986718/output_98/log.csv,5.336952220457524,0.216520826354722,0.233201484141317,0.2768954048117877,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/55_7mhf_1/986718/output_98/pdbs/151.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/55_7mhf_1/986718/output_9/log.csv,5.335619656095706,0.2129642731733517,0.2344996212682264,0.2773722040001736,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/55_7mhf_1/986718/output_9/pdbs/141.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/55_7mhf_1/986718/output_31/log.csv,5.33519260939077,0.2107802730265395,0.2326807682176198,0.2759139803522112,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/55_7mhf_1/986718/output_31/pdbs/171.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/55_7mhf_1/986718/output_6/log.csv,5.336086862519172,0.2214491873154922,0.232430112741013,0.2768913049525775,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/55_7mhf_1/986718/output_6/pdbs/197.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/55_7mhf_1/986718/output_71/log.csv,5.334019060350354,0.2142704903279163,0.2328110597061515,0.27412935690105,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/55_7mhf_1/986718/output_71/pdbs/197.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/55_7mhf_1/986718/output_65/log.csv,5.33442194319575,0.2109276681049674,0.2326670670207041,0.2759478529601244,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/55_7mhf_1/986718/output_65/pdbs/181.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/55_7mhf_1/986718/output_27/log.csv,5.33506284119856,0.2264488822393492,0.232675276074844,0.2743915497824812,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/55_7mhf_1/986718/output_27/pdbs/179.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/55_7mhf_1/986718/output_50/log.csv,5.335727960217858,0.2106513743824131,0.2335082677590917,0.2802140818495357,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/55_7mhf_1/986718/output_50/pdbs/179.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/55_7mhf_1/986718/output_44/log.csv,5.334800604665957,0.2157965243379304,0.2327699253969525,0.2769804211779673,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/55_7mhf_1/986718/output_44/pdbs/182.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/55_7mhf_1/986718/output_66/log.csv,5.335366782382866,0.210503141486688,0.2328545438660679,0.2746341043723539,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/55_7mhf_1/986718/output_66/pdbs/166.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/55_7mhf_1/986718/output_58/log.csv,5.336091134203536,0.222781314373025,0.2335287166169617,0.2761714153662351,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/55_7mhf_1/986718/output_58/pdbs/180.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/55_7mhf_1/986718/output_115/log.csv,5.335497314091478,0.2184986194155781,0.2337894837334323,0.2772637457802448,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/55_7mhf_1/986718/output_115/pdbs/172.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/55_7mhf_1/986718/output_13/log.csv,5.335040365470067,0.2227686099447983,0.2335333902874553,0.2807930330917809,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/55_7mhf_1/986718/output_13/pdbs/198.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/55_7mhf_1/986718/output_52/log.csv,5.335614474205388,0.2190173851337028,0.2330418203215059,0.2764163664680958,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/55_7mhf_1/986718/output_52/pdbs/180.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/55_7mhf_1/986718/output_113/log.csv,5.336321984454007,0.2099027892983914,0.2323855367789798,0.2771927345978742,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/55_7mhf_1/986718/output_113/pdbs/193.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/55_7mhf_1/986718/output_61/log.csv,5.335531209839674,0.213596544784637,0.2333673066813114,0.276525636555979,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/55_7mhf_1/986718/output_61/pdbs/181.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/55_7mhf_1/986718/output_105/log.csv,5.33602558272943,0.2142167891781028,0.2327736553197956,0.2765898788465653,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/55_7mhf_1/986718/output_105/pdbs/165.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/55_7mhf_1/986718/output_28/log.csv,5.334499034366743,0.2094529380587265,0.2332488339505375,0.2761640955972396,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/55_7mhf_1/986718/output_28/pdbs/176.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/55_7mhf_1/986718/output_111/log.csv,5.336667465053635,0.2235160717244195,0.2336509770897435,0.2781150681741196,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/55_7mhf_1/986718/output_111/pdbs/157.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/55_7mhf_1/986718/output_87/log.csv,5.334494503663854,0.2156621469613666,0.2326652482821766,0.2763642473133331,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/55_7mhf_1/986718/output_87/pdbs/129.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/55_7mhf_1/986718/output_112/log.csv,5.333855077919016,0.2114297677932546,0.2329328944721643,0.2773751453899726,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/55_7mhf_1/986718/output_112/pdbs/127.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/55_7mhf_1/986718/output_51/log.csv,5.333852355491263,0.2160947206966056,0.2323386325935871,0.2758032545844835,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/55_7mhf_1/986718/output_51/pdbs/138.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/55_7mhf_1/986718/output_82/log.csv,5.336608104161585,0.2129431569167301,0.2325419120722634,0.2789477091035778,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/55_7mhf_1/986718/output_82/pdbs/192.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/55_7mhf_1/986718/output_86/log.csv,5.334237435628149,0.2176456217275793,0.232838284834297,0.2788168725168647,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/55_7mhf_1/986718/output_86/pdbs/181.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/55_7mhf_1/986718/output_23/log.csv,5.335027381882136,0.2246272925408948,0.2326901180659963,0.2772682002027841,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/55_7mhf_1/986718/output_23/pdbs/170.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/55_7mhf_1/986718/output_116/log.csv,5.3363893675941085,0.2316389640355143,0.2338514462295167,0.2777910802494888,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/55_7mhf_1/986718/output_116/pdbs/138.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/55_7mhf_1/986718/output_56/log.csv,5.334761684959099,0.2128562811844149,0.2333992742906815,0.2769752346257229,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/55_7mhf_1/986718/output_56/pdbs/127.pdb
