,xray_0+xray_1,pdb,ff,xray_0,r_free_0,rmsd_0,xray_1,r_free_1,rmsd_1
0,9.843438867089894,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/142_native_4_state_2_cond/0/output_384/pdbs/292.pdb,64304.48746168418,4.913469808875218,0.1355808799681132,0.2857383438872363,4.929969058214677,0.1393449149272869,0.2793963458472375
1,9.860600015369691,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/142_native_4_state_2_cond/1/output_813/pdbs/299.pdb,60836.33059838877,4.935464033218238,0.1244138003367868,0.312505592136935,4.9251359821514535,0.1245205383009188,0.223002656034869
2,9.63415631181655,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/142_native_4_state_2_cond/2/output_395/pdbs/213.pdb,64370.9838789074,4.812423016256876,0.1222608167803029,0.2499371158889323,4.821733295559674,0.1242765682787449,0.2614322000711753
3,9.79994167401573,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/142_native_4_state_2_cond/3/output_198/pdbs/253.pdb,61748.130804803295,4.927008914821148,0.1289966565535781,0.2571692739677142,4.872932759194583,0.1207755983644835,0.2410444120929227
4,9.77299395237881,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/142_native_4_state_2_cond/4/output_861/pdbs/287.pdb,63197.11573045823,4.89885579908944,0.1204292847838542,0.2542542409342757,4.87413815328937,0.1215034556402298,0.2511312482825984
5,9.809672015999784,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/142_native_4_state_2_cond/5/output_249/pdbs/246.pdb,63968.83391419793,4.908020573929054,0.1132815773693402,0.2506559593589874,4.90165144207073,0.1146313225116031,0.2509227006464067
6,9.713578955362761,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/142_native_4_state_2_cond/6/output_610/pdbs/239.pdb,65877.12068988525,4.852078989289799,0.126453765969245,0.2530991524794125,4.861499966072962,0.1305345168232377,0.2525613414817493
7,9.833494128836147,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/142_native_4_state_2_cond/7/output_656/pdbs/297.pdb,61279.0729969937,4.921534860023575,0.1252412103480405,0.2314678156186611,4.911959268812572,0.1307309114045402,0.2491976406889129
8,9.635541640251226,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/142_native_4_state_2_cond/8/output_535/pdbs/189.pdb,65126.375691534464,4.821688520091944,0.1143656922650386,0.2037774927606281,4.8138531201592825,0.1145293072068559,0.2011692181714674
9,9.6671901989948,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/142_native_4_state_2_cond/9/output_852/pdbs/261.pdb,63443.40878076052,4.839700093416161,0.1073613242491436,0.2479930219553794,4.82749010557864,0.1085421146035093,0.2337371503408523
