,N,J,w_xray,r_free,w_0_7mhf,ff,pdb,cif_0,w_0_7mhg,w_0_7mhh,w_0_7mhi,w_0_7mhj,w_0_7mhk,r_free_7mhg,cif_1,r_free_7mhh,r_free_7mhi,r_free_7mhj,r_free_7mhk,cif_2,cif_3,cif_4,cif_5,w_1_7mhf,w_1_7mhg,w_1_7mhh,w_1_7mhi,w_1_7mhj,w_1_7mhk,w_2_7mhf,w_3_7mhf,w_2_7mhg,w_3_7mhg,w_2_7mhh,w_3_7mhh,w_2_7mhi,w_3_7mhi,w_2_7mhj,w_3_7mhj,w_2_7mhk,w_3_7mhk,w_4_7mhf,w_5_7mhf,w_6_7mhf,w_7_7mhf,w_4_7mhg,w_5_7mhg,w_6_7mhg,w_7_7mhg,w_4_7mhh,w_5_7mhh,w_6_7mhh,w_7_7mhh,w_4_7mhi,w_5_7mhi,w_6_7mhi,w_7_7mhi,w_4_7mhj,w_5_7mhj,w_6_7mhj,w_7_7mhj,w_4_7mhk,w_5_7mhk,w_6_7mhk,w_7_7mhk,w_8_7mhf,w_9_7mhf,w_10_7mhf,w_11_7mhf,w_12_7mhf,w_13_7mhf,w_14_7mhf,w_15_7mhf,w_8_7mhg,w_9_7mhg,w_10_7mhg,w_11_7mhg,w_12_7mhg,w_13_7mhg,w_14_7mhg,w_15_7mhg,w_8_7mhh,w_9_7mhh,w_10_7mhh,w_11_7mhh,w_12_7mhh,w_13_7mhh,w_14_7mhh,w_15_7mhh,w_8_7mhi,w_9_7mhi,w_10_7mhi,w_11_7mhi,w_12_7mhi,w_13_7mhi,w_14_7mhi,w_15_7mhi,w_8_7mhj,w_9_7mhj,w_10_7mhj,w_11_7mhj,w_12_7mhj,w_13_7mhj,w_14_7mhj,w_15_7mhj,w_8_7mhk,w_9_7mhk,w_10_7mhk,w_11_7mhk,w_12_7mhk,w_13_7mhk,w_14_7mhk,w_15_7mhk
195,8.0,2.0,0.5,0.2895730592074039,0.0915716826014178,17851.90835430425,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/188_w_xray_exp_ref_10000/2149/output_0/pdbs/173.pdb,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhf.cif,,,,,,0.2936154100473271,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhg.cif,,,,,,,,,0.1380225133360694,,,,,,0.1771849670944744,0.0532893093479905,,,,,,,,,,,0.1509325090158176,0.2150221344428982,0.0714674983516858,0.1025093858096459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,8.0,2.0,0.25,0.3072515665921658,0.2144869336705315,12196.863212341446,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/188_w_xray_exp_ref_10000/2159/output_0/pdbs/226.pdb,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhf.cif,,,,,,,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhh.cif,0.306422536897444,,,,,,,,0.0684154671466333,,,,,,0.0673386673138228,0.0568060821596257,,,,,,,,,,,0.1844819783991638,0.2689296385617164,0.0506661740598259,0.0888750586886802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,8.0,2.0,0.5,0.3068982927341067,0.0761932455443221,19963.603666834613,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/188_w_xray_exp_ref_10000/2171/output_4/pdbs/259.pdb,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhf.cif,,,,,,,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhi.cif,,0.2941775231123036,,,,,,,0.2194935545909359,,,,,,0.0681513530380412,0.0411019515753866,,,,,,,,,,,0.0963555683213075,0.1795372397750168,0.0558414456139069,0.2633256415410827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,8.0,2.0,0.25,0.3089936905707284,0.1260688524597695,12410.001739294144,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/188_w_xray_exp_ref_10000/2181/output_2/pdbs/178.pdb,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhf.cif,,,,,,,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhj.cif,,,0.3210013583679836,,,,,,0.1386855161672333,,,,,,0.0264848271098605,0.0270373177296006,,,,,,,,,,,0.2687084035795611,0.2690398978231723,0.068352170699355,0.0756230144314473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,8.0,2.0,0.5,0.2999450231998967,0.0764944422161815,21395.26480096772,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/188_w_xray_exp_ref_10000/2193/output_0/pdbs/251.pdb,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhf.cif,,,,,,,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhk.cif,,,,0.3196260700440784,,,,,0.1104155213418413,,,,,,0.2238566905704797,0.0488216663912741,,,,,,,,,,,0.1059389710131873,0.32821906385842,0.030076225731348,0.0761774188772678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,8.0,2.0,0.25,0.2950691593674768,,13342.802245539702,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/188_w_xray_exp_ref_10000/2203/output_0/pdbs/266.pdb,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhg.cif,0.1393403310271719,,,,,,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhh.cif,0.3012674618501466,,,,,,,,,0.1433752051876007,,,,,,,0.1678946224645099,0.0618250919392364,,,,,,,,,,,,,0.061269148906735,0.2597448594685277,0.0618744032302206,0.1046763377759976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,8.0,2.0,0.5,0.2829582240520485,,19537.978771723883,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/188_w_xray_exp_ref_10000/2215/output_3/pdbs/242.pdb,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhg.cif,0.1118598814550515,,,,,,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhi.cif,,0.2869240607473252,,,,,,,,0.1077657551287461,,,,,,,0.1649733013946593,0.0813453201654141,,,,,,,,,,,,,0.1645306674086567,0.1050735758428109,0.0518533763654563,0.2125981222392049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,8.0,2.0,0.5,0.2923215626458347,,20711.18147218513,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/188_w_xray_exp_ref_10000/2226/output_1/pdbs/263.pdb,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhg.cif,0.0749945210498357,,,,,,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhj.cif,,,0.3197347073226944,,,,,,,0.2816558600325786,,,,,,,0.1746751550820486,0.0631995566213957,,,,,,,,,,,,,0.113995322968827,0.1486045665424213,0.0507229867565378,0.0921520309463549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,8.0,2.0,0.5,0.2867705013280984,,21241.775682383897,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/188_w_xray_exp_ref_10000/2237/output_0/pdbs/52.pdb,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhg.cif,0.1236990070510896,,,,,,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhk.cif,,,,0.2970186349532021,,,,,,0.0521005232767122,,,,,,,0.0665967502597416,0.0730064081618624,,,,,,,,,,,,,0.1293507089883996,0.2621625799502391,0.0449066048381112,0.2481774174738441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,8.0,2.0,0.5,0.2274829797627115,,25739.258304190167,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/188_w_xray_exp_ref_10000/2248/output_2/pdbs/178.pdb,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhh.cif,,0.1258835632546899,,,,,/wynton/home/sali/mhancock/xray/data/cifs/7mhf/7mhi.cif,,0.2279860011252647,,,,,,,,,0.0759298092081836,,,,,,,,0.1493126605985818,0.0709653130068946,,,,,,,,,,,,,,,0.2013184134193294,0.1757492494022596,0.0510858825185412,0.1497551085915197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
