,xray_native_3_1,ff,w_1_native_3_1,rmsd_native_3_1,r_free_native_3_1,w_0_native_3_1,rmsd,pdb,r_work_native_3_1,out_id
0,3.9568477277786034,16759.63542829361,0.51837347680433,,0.1604916127652827,0.4816265231956699,,/wynton/group/sali/mhancock/xray/sample_bench/out/273_native_3_wxray_ref/7/output_388/pdbs/210.pdb,0.1425743059785497,388
1,3.920867523589544,11377.48500078188,0.6546658909866899,,0.1552066208566764,0.3453341090133101,,/wynton/group/sali/mhancock/xray/sample_bench/out/273_native_3_wxray_ref/7/output_10/pdbs/473.pdb,0.135004058186591,10
2,4.145226631788605,22446.63851903286,0.8597338644765415,,0.2010660380953588,0.1402661355234584,,/wynton/group/sali/mhancock/xray/sample_bench/out/273_native_3_wxray_ref/7/output_44/pdbs/487.pdb,0.1832585926933289,44
3,3.918017230426289,18191.15660408224,0.6983889656302955,,0.1567332760201556,0.3016110343697045,,/wynton/group/sali/mhancock/xray/sample_bench/out/273_native_3_wxray_ref/7/output_693/pdbs/304.pdb,0.1384504084201972,693
4,3.900351669799479,14335.118782499052,0.5014156050524009,,0.1550724807225339,0.498584394947599,,/wynton/group/sali/mhancock/xray/sample_bench/out/273_native_3_wxray_ref/7/output_185/pdbs/493.pdb,0.1346628876509784,185
5,3.930752527316623,13491.715371106186,0.5456975303732456,,0.1566682233646086,0.4543024696267544,,/wynton/group/sali/mhancock/xray/sample_bench/out/273_native_3_wxray_ref/7/output_670/pdbs/190.pdb,0.1390496974142168,670
6,4.162249445094526,13778.63035242098,0.1565307229338443,,0.2047960131674497,0.8434692770661557,,/wynton/group/sali/mhancock/xray/sample_bench/out/273_native_3_wxray_ref/7/output_497/pdbs/391.pdb,0.1864545087515613,497
7,3.8822811969873015,16503.21155281696,0.5287068811586415,,0.1512481309501847,0.4712931188413586,,/wynton/group/sali/mhancock/xray/sample_bench/out/273_native_3_wxray_ref/7/output_843/pdbs/395.pdb,0.1316414625396326,843
8,3.88585133129152,18647.352535182265,0.5202596388823908,,0.1512232552592851,0.4797403611176093,,/wynton/group/sali/mhancock/xray/sample_bench/out/273_native_3_wxray_ref/7/output_837/pdbs/326.pdb,0.1304726558072814,837
9,3.930017530800063,17676.748346872104,0.6283263394588277,,0.1501730434839918,0.3716736605411724,,/wynton/group/sali/mhancock/xray/sample_bench/out/273_native_3_wxray_ref/7/output_209/pdbs/434.pdb,0.1385603674743996,209
10,4.256054573688357,24119.954435506344,0.0601951989610406,,0.2259770879402073,0.9398048010389594,,/wynton/group/sali/mhancock/xray/sample_bench/out/273_native_3_wxray_ref/7/output_964/pdbs/15.pdb,0.199730662487497,964
11,3.9431046876267457,19648.72051055836,0.6335280610396914,,0.1583665885710474,0.3664719389603085,,/wynton/group/sali/mhancock/xray/sample_bench/out/273_native_3_wxray_ref/7/output_161/pdbs/210.pdb,0.1378307435373872,161
12,4.030783784988279,16625.710684942438,0.2607360915349783,,0.1759429256216178,0.7392639084650217,,/wynton/group/sali/mhancock/xray/sample_bench/out/273_native_3_wxray_ref/7/output_466/pdbs/318.pdb,0.155607825205276,466
13,3.9520157716376176,11170.410229129087,0.5568835994899555,,0.1578866627300566,0.4431164005100445,,/wynton/group/sali/mhancock/xray/sample_bench/out/273_native_3_wxray_ref/7/output_130/pdbs/464.pdb,0.1412282161595146,130
14,4.250329392490689,18975.90347991751,0.8865777967554054,,0.2413262762437817,0.1134222032445946,,/wynton/group/sali/mhancock/xray/sample_bench/out/273_native_3_wxray_ref/7/output_733/pdbs/257.pdb,0.2103196862382221,733
15,3.922017269463905,15554.291690530275,0.5806353318380669,,0.1524091065843663,0.4193646681619331,,/wynton/group/sali/mhancock/xray/sample_bench/out/273_native_3_wxray_ref/7/output_966/pdbs/298.pdb,0.1359556243166789,966
16,3.899648536682842,19441.38081007672,0.5333093291162138,,0.1536174429272806,0.4666906708837862,,/wynton/group/sali/mhancock/xray/sample_bench/out/273_native_3_wxray_ref/7/output_218/pdbs/466.pdb,0.1325945496274138,218
17,3.8786958698285816,13955.81250203869,0.6280017246149302,,0.1496102281329524,0.3719982753850697,,/wynton/group/sali/mhancock/xray/sample_bench/out/273_native_3_wxray_ref/7/output_778/pdbs/496.pdb,0.1333505550579807,778
18,3.9554343254005664,13469.088183890928,0.3906694554072618,,0.1546923476059725,0.6093305445927383,,/wynton/group/sali/mhancock/xray/sample_bench/out/273_native_3_wxray_ref/7/output_199/pdbs/373.pdb,0.1384723244233385,199
19,3.9610679413727,18338.84809184957,0.6502506517541375,,0.1607350337115422,0.3497493482458625,,/wynton/group/sali/mhancock/xray/sample_bench/out/273_native_3_wxray_ref/7/output_172/pdbs/468.pdb,0.1431337784657432,172
20,4.283246673356088,18633.53432862412,0.1474053484983832,,0.2160316950732633,0.8525946515016168,,/wynton/group/sali/mhancock/xray/sample_bench/out/273_native_3_wxray_ref/7/output_121/pdbs/4.pdb,0.1892109353254856,121
21,3.9639476381008714,13518.223216572207,0.595553403132508,,0.1604773595713551,0.4044465968674919,,/wynton/group/sali/mhancock/xray/sample_bench/out/273_native_3_wxray_ref/7/output_35/pdbs/499.pdb,0.1415114582452362,35
22,4.185540592442339,16557.217516157103,0.0259339701740051,,0.2278662229982548,0.9740660298259948,,/wynton/group/sali/mhancock/xray/sample_bench/out/273_native_3_wxray_ref/7/output_603/pdbs/464.pdb,0.1982351424906183,603
