,N,J,w_xray,r_free_native_3_0+r_free_native_3_1,rmsd,r_free_native_3_0,r_work_native_3_0,xray_native_3_0,r_free_native_3_1,r_work_native_3_1,xray_native_3_1,ff,pdb,w_0_native_3_0,w_0_native_3_1,w_1_native_3_0,w_1_native_3_1,cif_0,cif_1
0,2.0,2.0,1.0,0.31356506319152333,,0.1623374989202077,0.1436821594348948,3.9928061508763135,0.1512275642713156,0.1357164520850183,3.930793018965611,9165.363700504908,/wynton/group/sali/mhancock/xray/sample_bench/out/273_native_3_wxray_ref/0/output_209/pdbs/392.pdb,0.3236347123279638,0.6797043808398041,0.6763652876720362,0.3202956191601959,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_3_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_3_1.cif
1,2.0,2.0,0.5,0.2720970055862356,,0.1390327969217371,0.128871302362054,3.9060996579381895,0.1330642086644985,0.124972797053972,3.857262866246769,20964.69008516665,/wynton/group/sali/mhancock/xray/sample_bench/out/273_native_3_wxray_ref/1/output_467/pdbs/417.pdb,0.6308587268677862,0.2974216721126735,0.3691412731322137,0.7025783278873264,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_3_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_3_1.cif
2,2.0,2.0,0.25,0.24930029256267977,,0.1279530976614293,0.1183148274637354,3.836910024429608,0.1213471949012505,0.1138013989564855,3.7716740702925913,11446.253821355584,/wynton/group/sali/mhancock/xray/sample_bench/out/273_native_3_wxray_ref/2/output_330/pdbs/428.pdb,0.363685784218251,0.7738516464721572,0.6363142157817491,0.2261483535278428,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_3_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_3_1.cif
3,2.0,1.0,1.0,,,0.1523819591461118,0.1330303248144784,3.9119648987874673,,,,20483.83253881196,/wynton/group/sali/mhancock/xray/sample_bench/out/273_native_3_wxray_ref/3/output_51/pdbs/447.pdb,0.6597149183805635,,0.3402850816194365,,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_3_0.cif,
4,2.0,1.0,0.5,,,0.1444405437930956,0.126674725394982,3.8443766187020505,,,,15963.93389356696,/wynton/group/sali/mhancock/xray/sample_bench/out/273_native_3_wxray_ref/4/output_22/pdbs/375.pdb,0.5315059886458284,,0.4684940113541715,,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_3_0.cif,
5,2.0,1.0,0.25,,,0.1414903102627544,0.1239752539022407,3.816845507678913,,,,15965.708677837722,/wynton/group/sali/mhancock/xray/sample_bench/out/273_native_3_wxray_ref/5/output_853/pdbs/458.pdb,0.4747370859671521,,0.525262914032848,,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_3_0.cif,
6,2.0,1.0,1.0,,,,,,0.1438276471148566,0.1279907296348364,3.856750872766887,18952.289540823836,/wynton/group/sali/mhancock/xray/sample_bench/out/273_native_3_wxray_ref/6/output_959/pdbs/466.pdb,,0.4339627877595725,,0.5660372122404275,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_3_1.cif,
7,2.0,1.0,0.5,,,,,,0.1316951408426898,0.1153566039073254,3.7390900791707056,17044.805986964613,/wynton/group/sali/mhancock/xray/sample_bench/out/273_native_3_wxray_ref/7/output_963/pdbs/497.pdb,,0.5074331280179787,,0.4925668719820213,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_3_1.cif,
8,2.0,1.0,0.25,,,,,,0.1307004778775188,0.1208420279720045,3.784130389635754,15648.102825635056,/wynton/group/sali/mhancock/xray/sample_bench/out/273_native_3_wxray_ref/8/output_716/pdbs/434.pdb,,0.5656069070433869,,0.4343930929566131,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_3_1.cif,
