,N,J,w_xray,r_free_native_0,r_work_native_0,xray_native_0,r_free_native_1,r_work_native_1,xray_native_1,rmsd,ff,pdb,w_0_native_0,w_0_native_1,w_1_native_0,w_1_native_1,cif_0,cif_1
0,2.0,2.0,1.0,0.1761227780998093,0.1687760624537754,4.18135327832903,0.1807480789010395,0.171647495832537,4.200891842219532,0.9891771308314896,14901.663707817572,/wynton/group/sali/mhancock/xray/sample_bench/out/263_sb_sa/0/output_17/pdbs/372.pdb,0.9,0.1,0.1,0.9,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif
1,2.0,2.0,0.5,0.1937944204055501,0.1893531700810219,4.319036413403574,0.1957420204213194,0.1919834878003076,4.323600906794675,0.9689734813218892,12089.695030756478,/wynton/group/sali/mhancock/xray/sample_bench/out/263_sb_sa/1/output_10/pdbs/493.pdb,0.9,0.1,0.1,0.9,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif
2,2.0,2.0,0.25,0.2021362846624676,0.2069005245836996,4.421276476628274,0.217559514027607,0.2081702390481951,4.433803479836047,0.9794461908655132,11999.893346442184,/wynton/group/sali/mhancock/xray/sample_bench/out/263_sb_sa/2/output_17/pdbs/265.pdb,0.9,0.1,0.1,0.9,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif
3,2.0,2.0,0.125,0.2173620130878086,0.2205787042352641,4.527657515243834,0.2198888667913711,0.2149902885851459,4.504860804834268,0.8887127535715826,12546.35613178118,/wynton/group/sali/mhancock/xray/sample_bench/out/263_sb_sa/3/output_10/pdbs/466.pdb,0.9,0.1,0.1,0.9,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif
4,2.0,2.0,0.0625,0.2570432817599806,0.2613146608646817,4.677246094199333,0.2728942854675704,0.2719400870183052,4.710766681425347,0.9014175310975492,13104.024883479344,/wynton/group/sali/mhancock/xray/sample_bench/out/263_sb_sa/4/output_14/pdbs/488.pdb,0.9,0.1,0.1,0.9,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif
5,2.0,2.0,0.03125,0.274626732286392,0.2849846803530789,4.722941446552021,0.2656314366856787,0.2756698830301129,4.701216953342489,0.965837558105908,16555.191655162904,/wynton/group/sali/mhancock/xray/sample_bench/out/263_sb_sa/5/output_0/pdbs/0.pdb,0.9,0.1,0.1,0.9,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_1.cif
6,2.0,1.0,1.0,0.1886882216826559,0.1758034354650488,4.17922074282628,,,,0.923167721882552,13537.479458627942,/wynton/group/sali/mhancock/xray/sample_bench/out/263_sb_sa/6/output_18/pdbs/421.pdb,0.9,,0.1,,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,
7,2.0,1.0,0.5,0.1961607052368706,0.1900155526942441,4.280393350432529,,,,0.9134526243482616,12352.118465128811,/wynton/group/sali/mhancock/xray/sample_bench/out/263_sb_sa/7/output_13/pdbs/269.pdb,0.9,,0.1,,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,
8,2.0,1.0,0.25,0.2124747484720418,0.2137581280532696,4.404601929473591,,,,0.9445934545788712,12602.579248314889,/wynton/group/sali/mhancock/xray/sample_bench/out/263_sb_sa/8/output_9/pdbs/152.pdb,0.9,,0.1,,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,
9,2.0,1.0,0.125,0.2435925978272681,0.2496904527092434,4.522384915956977,,,,0.9198127712025465,12734.365544109858,/wynton/group/sali/mhancock/xray/sample_bench/out/263_sb_sa/9/output_13/pdbs/433.pdb,0.9,,0.1,,/wynton/home/sali/mhancock/xray/dev/45_synthetic_native_4/data/cifs/native_0.cif,
