,xray_0_min_0,xray_0_min_0_pdb,xray_0_min_0_rmsd_avg,xray_0_min_0_r_free_0
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_199/log.csv,4.971935774688522,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_199/pdbs/653.pdb,0.3875748901003826,0.4065123806524437
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_179/log.csv,4.943016547524548,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_179/pdbs/478.pdb,0.364861269827695,0.4022871876754363
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_88/log.csv,4.913357338717891,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_88/pdbs/647.pdb,0.3943878802930633,0.3899566919230103
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_0/log.csv,5.015523135601999,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_0/pdbs/219.pdb,0.4322185659713261,0.4005965571362435
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_152/log.csv,5.270801724214167,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_152/pdbs/710.pdb,0.4432360787446237,0.4304038165788286
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_144/log.csv,5.09339488257644,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_144/pdbs/249.pdb,0.4533953376189812,0.4229109821090703
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_176/log.csv,5.046995615338492,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_176/pdbs/428.pdb,0.4450732967902246,0.411708665676344
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_55/log.csv,5.0785996561622575,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_55/pdbs/788.pdb,0.4387475793086639,0.4073726625341899
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_47/log.csv,4.975890735400082,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_47/pdbs/746.pdb,0.3705373020370163,0.4021352344829088
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_223/log.csv,5.02840973165192,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_223/pdbs/449.pdb,0.405025944127578,0.4070282239890154
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_189/log.csv,5.118848415719648,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_189/pdbs/242.pdb,0.4706297297103091,0.4284267335287577
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_107/log.csv,4.907343297327324,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_107/pdbs/586.pdb,0.3841188435271421,0.3883821828433859
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_150/log.csv,5.067457207058349,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_150/pdbs/266.pdb,0.368607729663396,0.4098244221386758
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_87/log.csv,5.062656975068416,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_87/pdbs/500.pdb,0.3695238302374878,0.4103850801489959
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_43/log.csv,5.078903687546789,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_43/pdbs/571.pdb,0.3707508265352469,0.4111165918548483
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_93/log.csv,5.038603997129076,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_93/pdbs/504.pdb,0.3881638453909961,0.4099824261929571
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_206/log.csv,5.086217342798445,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_206/pdbs/495.pdb,0.4287332397202699,0.4141609161260964
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_158/log.csv,5.042722391267809,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_158/pdbs/566.pdb,0.4387629066379453,0.4139238071877476
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_108/log.csv,5.101484377392617,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_108/pdbs/782.pdb,0.3859998516813119,0.4212474109683617
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_173/log.csv,4.935386730293335,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_173/pdbs/443.pdb,0.4366027042298406,0.399494319387019
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_164/log.csv,4.972914405122963,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_164/pdbs/157.pdb,0.3919877974098206,0.4021854160449277
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_195/log.csv,5.058225750232825,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_195/pdbs/395.pdb,0.3876470132193312,0.413590687927983
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_6/log.csv,4.896068145396401,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_6/pdbs/607.pdb,0.3696279551721195,0.3871694923357408
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_133/log.csv,4.954896384523692,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_133/pdbs/162.pdb,0.3786311579597362,0.4114559383972078
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_73/log.csv,5.074731272641358,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_73/pdbs/336.pdb,0.4779942716900038,0.4328385522060768
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_3/log.csv,5.085960662631089,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_3/pdbs/226.pdb,0.3798323791454879,0.4211184019643911
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_42/log.csv,5.063936703925692,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_42/pdbs/741.pdb,0.4857305120608451,0.4182182038793173
/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_123/log.csv,5.265343952479909,/wynton/group/sali/mhancock/xray/sample_bench/out/3ca7/67_sb_4x/707704/output_123/pdbs/101.pdb,0.471960524831473,0.4452482167459557
