,N,J,w_xray,r_free_7mhf,rmsd,r_work_7mhf,xray_7mhf,r_free_7mhg,r_work_7mhg,xray_7mhg,ff,pdb,w_0_7mhf,w_0_7mhg,w_1_7mhf,w_1_7mhg,cif_0,cif_1,r_free_7mhh,r_work_7mhh,xray_7mhh,w_0_7mhh,w_1_7mhh,r_free_7mhi,r_work_7mhi,xray_7mhi,w_0_7mhi,w_1_7mhi,r_free_7mhj,r_work_7mhj,xray_7mhj,w_0_7mhj,w_1_7mhj,r_free_7mhk,r_work_7mhk,xray_7mhk,w_0_7mhk,w_1_7mhk
0,2.0,2.0,1.0,0.2229399394140578,0.3240901081027583,0.1862898233730465,5.128230507169644,,,,4478.587959567303,/wynton/group/sali/mhancock/xray/sample_bench/out/283_2_cond_phenix_ref/0/output_900/pdbs/64_7mhf.pdb,0.507113284522846,0.7219730760220777,0.492886715477154,0.2780269239779222,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhf.cif,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhg.cif,,,,,,,,,,,,,,,,,,,,
1,2.0,2.0,1.0,,0.307269415040728,,,0.2237311903418953,0.1866141085991753,5.02781642804681,4130.889680832433,/wynton/group/sali/mhancock/xray/sample_bench/out/283_2_cond_phenix_ref/0/output_661/pdbs/28_7mhg.pdb,0.311049138242409,0.4874053703172638,0.6889508617575909,0.5125946296827362,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhf.cif,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhg.cif,,,,,,,,,,,,,,,,,,,,
2,2.0,2.0,1.0,0.225050333320878,0.2863150261133168,0.1894612132299578,5.150543524837117,,,,4570.105785792617,/wynton/group/sali/mhancock/xray/sample_bench/out/283_2_cond_phenix_ref/1/output_930/pdbs/2_7mhf.pdb,0.4982441363261202,,0.5017558636738797,,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhf.cif,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhh.cif,,,,0.4346248494322324,0.5653751505677677,,,,,,,,,,,,,,,
3,2.0,2.0,1.0,,0.4751363313769354,,,,,,2536.651521745696,/wynton/group/sali/mhancock/xray/sample_bench/out/283_2_cond_phenix_ref/1/output_59/pdbs/98_7mhh.pdb,0.4764642381188814,,0.5235357618811187,,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhf.cif,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhh.cif,0.2557785401629058,0.1868640423613849,5.678003628699651,0.7784626798953344,0.2215373201046656,,,,,,,,,,,,,,,
4,2.0,2.0,1.0,0.225790036751593,0.3297587969356513,0.189508645074653,5.153033645936131,,,,4563.336588800416,/wynton/group/sali/mhancock/xray/sample_bench/out/283_2_cond_phenix_ref/2/output_591/pdbs/2_7mhf.pdb,0.4213092196710147,,0.5786907803289854,,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhf.cif,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhi.cif,,,,,,,,,0.0139320833018227,0.9860679166981772,,,,,,,,,,
5,2.0,2.0,1.0,,0.4140318144480951,,,,,,2602.2442718800426,/wynton/group/sali/mhancock/xray/sample_bench/out/283_2_cond_phenix_ref/2/output_432/pdbs/7_7mhi.pdb,0.6152263577081486,,0.3847736422918514,,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhf.cif,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhi.cif,,,,,,0.2355243105203988,0.1826689248146414,5.109333647539707,0.4316697703601748,0.5683302296398253,,,,,,,,,,
6,2.0,2.0,1.0,0.2259116377822863,0.2769190725472473,0.1893047912521682,5.151813004941019,,,,4325.925953071162,/wynton/group/sali/mhancock/xray/sample_bench/out/283_2_cond_phenix_ref/3/output_225/pdbs/2_7mhf.pdb,0.5753693827101533,,0.4246306172898467,,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhf.cif,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhj.cif,,,,,,,,,,,,,,0.4097095187852025,0.5902904812147974,,,,,
7,2.0,2.0,1.0,,0.4964554622409194,,,,,,2590.3503267230208,/wynton/group/sali/mhancock/xray/sample_bench/out/283_2_cond_phenix_ref/3/output_922/pdbs/239_7mhj.pdb,0.0120876098775834,,0.9879123901224164,,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhf.cif,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhj.cif,,,,,,,,,,,0.2442530097134193,0.1835191907424697,5.1899618611464975,0.5327010677387417,0.4672989322612583,,,,,
8,2.0,2.0,1.0,0.2259663422501772,0.3210430882160049,0.1894301425042807,5.155391237863418,,,,4562.160715286364,/wynton/group/sali/mhancock/xray/sample_bench/out/283_2_cond_phenix_ref/4/output_973/pdbs/2_7mhf.pdb,0.2410142761845769,,0.7589857238154231,,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhf.cif,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhk.cif,,,,,,,,,,,,,,,,,,,0.1667515546346857,0.8332484453653143
9,2.0,2.0,1.0,,0.9111043636360808,,,,,,2398.515292970442,/wynton/group/sali/mhancock/xray/sample_bench/out/283_2_cond_phenix_ref/4/output_729/pdbs/64_7mhk.pdb,0.0689242176849587,,0.9310757823150412,,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhf.cif,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhk.cif,,,,,,,,,,,,,,,,0.2597076801970363,0.1935193435601528,5.096030994493276,0.5856615629603455,0.4143384370396544
