,r_free,ff,pdb,w_0,cif_name,N,job_id,M,cifs,w_1,w_2,w_3,w_4,w_5,w_6,w_7,w_8,w_9,w_10,w_11,w_12,w_13,w_14,w_15
0,0.3193900101917762,765.0196250544022,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/0.pdb,1.0,7mhf,1,0,1,7mhf,,,,,,,,,,,,,,,
1,0.3147926526661405,862.2259404034617,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/1.pdb,1.0,7mhf,1,0,1,7mhf,,,,,,,,,,,,,,,
2,0.3190504362015249,414.3491746830037,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/2.pdb,1.0,7mhf,1,0,1,7mhf,,,,,,,,,,,,,,,
3,0.3178518760280832,808.4964327045589,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/3.pdb,1.0,7mhf,1,0,1,7mhf,,,,,,,,,,,,,,,
4,0.319619175680376,726.9774513222783,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/4.pdb,1.0,7mhf,1,0,1,7mhf,,,,,,,,,,,,,,,
5,0.3171119094448163,422.5651822553041,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/5.pdb,1.0,7mhf,1,0,1,7mhf,,,,,,,,,,,,,,,
6,0.3199237768948716,781.8966114494481,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/6.pdb,1.0,7mhf,1,0,1,7mhf,,,,,,,,,,,,,,,
7,0.3196300406476787,817.3111786107302,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/7.pdb,1.0,7mhf,1,0,1,7mhf,,,,,,,,,,,,,,,
8,0.3195612391520298,577.1671315352476,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/8.pdb,1.0,7mhf,1,0,1,7mhf,,,,,,,,,,,,,,,
9,0.3199373487771039,846.6341542124876,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/9.pdb,1.0,7mhf,1,0,1,7mhf,,,,,,,,,,,,,,,
10,0.3169216878346261,823.0968062786183,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/10.pdb,1.0,7mhf,1,0,1,7mhf,,,,,,,,,,,,,,,
11,0.3180859581677809,419.6415035025411,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/11.pdb,1.0,7mhf,1,0,1,7mhf,,,,,,,,,,,,,,,
12,0.3191102135624268,838.0639477766065,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/12.pdb,1.0,7mhf,1,0,1,7mhf,,,,,,,,,,,,,,,
13,0.3198848393986577,848.3739388907063,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/13.pdb,1.0,7mhf,1,0,1,7mhf,,,,,,,,,,,,,,,
14,0.3200229495611774,602.8336107952255,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/14.pdb,1.0,7mhf,1,0,1,7mhf,,,,,,,,,,,,,,,
15,0.3207482058079074,703.2334650395444,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/15.pdb,1.0,7mhf,1,0,1,7mhf,,,,,,,,,,,,,,,
16,0.3207339339502231,447.9674227851972,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/16.pdb,1.0,7mhf,1,0,1,7mhf,,,,,,,,,,,,,,,
17,0.3211437107700766,865.6606127603059,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/17.pdb,1.0,7mhf,1,0,1,7mhf,,,,,,,,,,,,,,,
18,0.3187013810788478,794.9730217203173,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/18.pdb,1.0,7mhf,1,0,1,7mhf,,,,,,,,,,,,,,,
19,0.3188858135389251,831.8689949945799,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/19.pdb,1.0,7mhf,1,0,1,7mhf,,,,,,,,,,,,,,,
20,0.3215666345557876,415.8674589352309,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/20.pdb,1.0,7mhf,1,0,1,7mhf,,,,,,,,,,,,,,,
21,0.3200682303806118,792.7710127392397,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/21.pdb,1.0,7mhf,1,0,1,7mhf,,,,,,,,,,,,,,,
