,state_id,job_id,w_xray_id,field,r_free_7mhf,ff,pdb,r_free_7mhg,r_free_7mhh,r_free_7mhi,r_free_7mhj,r_free_7mhk,w_xray,N
1192,1.0,45.0,4.0,1.128975859551448,0.3178427318159862,22358.541843691328,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N1_J45_W4/output_4/pdbs/253.pdb,0.291606418416674,,0.2616075700749811,,0.2579191392438066,0.5,2
1202,1.0,46.0,3.0,1.1509090264058572,0.3213349875975231,8616.891048422518,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N1_J46_W3/output_1/pdbs/191.pdb,0.2891032009374475,,,0.2816987113474122,0.2587721265234745,0.25,2
1215,1.0,47.0,5.0,0.9597518441827724,0.407947313665827,653857.9705077342,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N1_J47_W5/output_1/pdbs/244.pdb,,0.1819104011289301,0.1719649746577132,0.1979291547303023,,1.0,2
1226,1.0,48.0,5.0,1.032953236869052,0.3995265213494628,840088.8608020105,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N1_J48_W5/output_1/pdbs/122.pdb,,0.1961354252158118,0.1922034718032158,,0.2450878185005617,1.0,2
1236,1.0,49.0,4.0,1.0875605260995944,0.3556174804410693,20134.063545252488,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N1_J49_W4/output_1/pdbs/227.pdb,,0.2377346297340334,,0.2503302778405145,0.2438781380839773,0.5,2
1248,1.0,50.0,5.0,1.0615502806724797,0.3980466987900391,757536.6341103346,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N1_J50_W5/output_3/pdbs/220.pdb,,,0.1846770193584394,0.2226303031628936,0.2561962593611074,1.0,2
1259,1.0,51.0,5.0,0.9640271251491688,,678871.7254555086,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N1_J51_W5/output_3/pdbs/44.pdb,0.3956438028355954,0.1819110723470692,0.1822119032814108,0.2042603466850933,,1.0,2
1269,1.0,52.0,4.0,1.0071422850960705,,30092.16078425793,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N1_J52_W4/output_0/pdbs/144.pdb,0.3301901528688371,0.2231840345791713,0.2150968861972723,,0.2386712114507896,0.5,2
1280,1.0,53.0,4.0,1.069510094339832,,33917.18143626637,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N1_J53_W4/output_1/pdbs/273.pdb,0.3439340140969544,0.234454779849185,,0.2380453943079128,0.25307590608578,0.5,2
1291,1.0,54.0,4.0,1.024791237968619,,20579.46620348069,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N1_J54_W4/output_3/pdbs/67.pdb,0.3209930011019083,,0.2183926934231843,0.2439206232184535,0.241484920225073,0.5,2
1303,1.0,55.0,5.0,0.8378954320427433,,1048635.2946430272,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N1_J55_W5/output_2/pdbs/271.pdb,,0.1922796492597719,0.175798892299666,0.2090024882557143,0.2608144022275911,1.0,2
