,state_id,job_id,w_xray_id,field,r_free_7mhf,ff,pdb,r_free_7mhg,r_free_7mhh,r_free_7mhi,r_free_7mhj,r_free_7mhk,w_xray,N
323,0.0,29.0,4.0,0.909731268133908,0.3660999876670464,3697.318911503602,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N0_J29_W4/output_2/pdbs/191.pdb,,,0.2695754311772149,,0.2740558492896468,0.5,1
334,0.0,30.0,4.0,0.9438234963649036,0.3608986799160577,3460.7189716438115,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N0_J30_W4/output_4/pdbs/99.pdb,,,,0.293641968351612,0.2892828480972341,0.5,1
346,0.0,31.0,5.0,0.8556719207265975,,227917.01322403696,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N0_J31_W5/output_0/pdbs/125.pdb,0.3849930832567727,0.2241106827642275,0.2465681547055974,,,1.0,1
356,0.0,32.0,4.0,0.8965441883428665,,3982.664944727944,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N0_J32_W4/output_1/pdbs/72.pdb,0.3477448861768566,0.2688905094531232,,0.2799087927128867,,0.5,1
367,0.0,33.0,4.0,0.8811890979308759,,3461.147081147465,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N0_J33_W4/output_4/pdbs/66.pdb,0.328329093139945,0.2777136004341563,,,0.2751464043567745,0.5,1
377,0.0,34.0,3.0,0.8784326220563897,,2087.1490260710043,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N0_J34_W3/output_1/pdbs/255.pdb,0.334542291837549,,0.2563702129388189,0.2875201172800218,,0.25,1
389,0.0,35.0,4.0,0.8659274892659456,,3577.21595805883,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N0_J35_W4/output_1/pdbs/247.pdb,0.3260614005615918,,0.2705635742179567,,0.2693025144863972,0.5,1
400,0.0,36.0,4.0,0.8964690863988309,,3588.040776482316,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N0_J36_W4/output_0/pdbs/84.pdb,0.3339027623944928,,,0.2917014525817113,0.2708648714226269,0.5,1
412,0.0,37.0,5.0,0.6625527199901311,,317183.06645412673,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N0_J37_W5/output_0/pdbs/50.pdb,,0.2088734915289865,0.2203160790262553,0.2333631494348894,,1.0,1
423,0.0,38.0,5.0,0.7379051682679252,,146777.74985934427,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N0_J38_W5/output_2/pdbs/12.pdb,,0.2318007438593,0.2338600686635202,,0.2722443557451049,1.0,1
434,0.0,39.0,5.0,0.7684198965938414,,112028.60088846418,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N0_J39_W5/output_0/pdbs/10.pdb,,0.2354817648306163,,0.2519914830796367,0.2809466486835883,1.0,1
445,0.0,40.0,5.0,0.7468201927118308,,105641.75157728646,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N0_J40_W5/output_2/pdbs/10.pdb,,,0.2310678867276245,0.2462336009207692,0.2695187050634371,1.0,1
455,0.0,41.0,4.0,1.1866501880257312,0.3225150482985087,4351.8339171884345,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N0_J41_W4/output_1/pdbs/280.pdb,0.3045930658605466,0.2838304448144279,0.2757116290522481,,,0.5,1
466,0.0,42.0,4.0,1.2158024089338344,0.3267435609395608,4237.453774152393,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N0_J42_W4/output_1/pdbs/173.pdb,0.3099320391034941,0.2812955332559286,,0.2978312756348509,,0.5,1
477,0.0,43.0,4.0,1.1986297905142118,0.3225309710422632,4069.4749081407617,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N0_J43_W4/output_3/pdbs/247.pdb,0.2970679602435419,0.2923331804524828,,,0.2866976787759241,0.5,1
488,0.0,44.0,4.0,1.2066033974192294,0.3329409823850595,4396.511540635897,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N0_J44_W4/output_2/pdbs/266.pdb,0.3067092573398987,,0.274024261837592,0.2929288958566792,,0.5,1
499,0.0,45.0,4.0,1.1873942398321695,0.3294087731915863,4188.555627387294,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N0_J45_W4/output_3/pdbs/264.pdb,0.296822375152209,,0.2881478008515233,,0.2730152906368511,0.5,1
509,0.0,46.0,3.0,1.224914333761511,0.3330246305041632,1954.2504652266605,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N0_J46_W3/output_1/pdbs/298.pdb,0.2985056200981275,,,0.3154860797883956,0.2778980033708246,0.25,1
522,0.0,47.0,5.0,1.0965229269020562,0.4264971742415674,402255.32084183296,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N0_J47_W5/output_4/pdbs/74.pdb,,0.2169808474935386,0.2067282384224553,0.246316666744495,,1.0,1
533,0.0,48.0,5.0,1.1115187652743377,0.3957608201266526,332250.8002160282,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N0_J48_W5/output_2/pdbs/51.pdb,,0.221312652021161,0.226388321000033,,0.2680569721264908,1.0,1
544,0.0,49.0,5.0,1.1543139094959356,0.3976099355307012,278290.18087386625,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N0_J49_W5/output_2/pdbs/214.pdb,,0.2341669908668185,,0.2483076096571883,0.2742293734412275,1.0,1
555,0.0,50.0,5.0,1.1398885231626477,0.3877510150826484,182206.396954606,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N0_J50_W5/output_2/pdbs/11.pdb,,,0.223364465028068,0.2415386508863218,0.2872343921656095,1.0,1
566,0.0,51.0,5.0,1.075413139234164,,238768.3551886737,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N0_J51_W5/output_4/pdbs/12.pdb,0.3963685740208806,0.2145780155794285,0.2317531789739972,0.2327133706598576,,1.0,1
577,0.0,52.0,5.0,1.096582929133647,,193459.7233257345,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N0_J52_W5/output_2/pdbs/13.pdb,0.3684972079093571,0.2395545198804451,0.2283986503104618,,0.260132551033383,1.0,1
588,0.0,53.0,5.0,1.1346015715753324,,174209.45718730273,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N0_J53_W5/output_4/pdbs/13.pdb,0.3769224207255238,0.2316232619020076,,0.2505541933508743,0.2755016955969266,1.0,1
598,0.0,54.0,4.0,1.1139575781532378,,13361.672834742332,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N0_J54_W4/output_0/pdbs/260.pdb,0.3493233013825626,,0.2460477284647811,0.259578796706827,0.2590077515990672,0.5,1
610,0.0,55.0,5.0,0.9423942238126106,,197927.0405137448,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N0_J55_W5/output_2/pdbs/10.pdb,,0.210689166328933,0.2107839765903243,0.2418059195711846,0.2791151613221687,1.0,1
620,0.0,56.0,4.0,1.4550017012281804,0.3659058295689574,20606.68743900776,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N0_J56_W4/output_3/pdbs/39.pdb,0.3316088328878037,0.2558661797887795,0.2479849023877984,0.2536359565948414,,0.5,1
631,0.0,57.0,4.0,1.4462406753010044,0.335634213248034,7702.126447233879,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N0_J57_W4/output_1/pdbs/173.pdb,0.3095466962555215,0.2712267832362391,0.2584475395859375,,0.2713854429752721,0.5,1
642,0.0,58.0,4.0,1.4700992718549073,0.3424371605720993,7953.451335765296,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N0_J58_W4/output_1/pdbs/58.pdb,0.3132046864388808,0.2735888074080159,,0.2784030720471289,0.2624655453887825,0.5,1
653,0.0,59.0,4.0,1.4683695315764969,0.3454252000773524,7657.575753951984,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N0_J59_W4/output_1/pdbs/209.pdb,0.3131128938765383,,0.2636190662627285,0.2837715236772256,0.2624408476826521,0.5,1
665,0.0,60.0,5.0,1.351982880675497,0.4033169728962317,414268.7542144462,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N0_J60_W5/output_4/pdbs/45.pdb,,0.2153946712422962,0.2099982002120136,0.238765281077438,0.2845077552475175,1.0,1
676,0.0,61.0,5.0,1.3000051925282825,,497395.7734459279,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N0_J61_W5/output_1/pdbs/182.pdb,0.3749829967424773,0.2135224102981242,0.2010697032667568,0.2341006633072095,0.2763294189137146,1.0,1
686,0.0,62.0,4.0,1.6925269090235953,0.3730488429649938,30873.353530241075,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N0_J62_W4/output_3/pdbs/92.pdb,0.3339688215528451,0.2526531935428018,0.2360730011693884,0.2398810258678921,0.2569020239256741,0.5,1
697,1.0,0.0,4.0,0.2999767050204923,0.2999767050204923,8047.932343166693,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/178_wxray/N1_J0_W4/output_1/pdbs/95.pdb,,,,,,0.5,2
