,xray_0+xray_1,pdb,xray_0,xray_1,r_free_0,r_free_1,w_0_0,w_0_1,w_1_0,w_1_1,w_2_0,w_2_1,w_3_0,w_3_1
8,10.461047281936793,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/138_4_state_2_cond/131217/output_886/pdbs/227.pdb,5.227500740290506,5.233546541646287,0.2527458487519953,0.2669184341258958,0.3322927270091196,0.3039879462519471,0.3093458397923816,0.3295325327829855,0.2432413505728526,0.2538689829432228,0.1151200826256461,0.1126105380218445
9,10.461403753143685,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/138_4_state_2_cond/131217/output_70/pdbs/276.pdb,5.223681330333844,5.237722422809842,0.2517598024859077,0.271233496013505,0.2925312663522217,0.2987188571023332,0.2738179263967519,0.3020334372285111,0.3162180875917428,0.2815595969129161,0.1174327196592833,0.1176881087562394
10,10.461429908103693,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/138_4_state_2_cond/131217/output_70/pdbs/297.pdb,5.2333149752130055,5.228114932890687,0.2574772038373234,0.2710843097159329,0.2925312663522217,0.2987188571023332,0.2738179263967519,0.3020334372285111,0.3162180875917428,0.2815595969129161,0.1174327196592833,0.1176881087562394
11,10.461711354243961,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/138_4_state_2_cond/131217/output_1514/pdbs/253.pdb,5.240253191926728,5.221458162317234,0.2613949079138257,0.2574729533662974,0.2771849277682322,0.2830106620816784,0.2620077077196222,0.2488906588112152,0.3475575045272759,0.358015855958846,0.1132498599848696,0.1100828231482604
12,10.461867185572979,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/138_4_state_2_cond/131217/output_1684/pdbs/264.pdb,5.246624894061377,5.215242291511602,0.2627219168769479,0.2584116532400035,0.2860740344940279,0.2817598090522139,0.2496260893755817,0.2852415948651367,0.3310489710657431,0.3212026487802187,0.133250905064647,0.1117959473024306
13,10.46200666072875,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/138_4_state_2_cond/131217/output_1684/pdbs/263.pdb,5.243290210240554,5.218716450488196,0.2603800866264383,0.2594150232436272,0.2860740344940279,0.2817598090522139,0.2496260893755817,0.2852415948651367,0.3310489710657431,0.3212026487802187,0.133250905064647,0.1117959473024306
14,10.463503537066027,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/138_4_state_2_cond/131217/output_1514/pdbs/252.pdb,5.240274548246903,5.223228988819123,0.2609741887284922,0.2596334568252832,0.2771849277682322,0.2830106620816784,0.2620077077196222,0.2488906588112152,0.3475575045272759,0.358015855958846,0.1132498599848696,0.1100828231482604
15,10.463556723810264,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/138_4_state_2_cond/131217/output_511/pdbs/267.pdb,5.234796468885907,5.2287602549243575,0.2576012166729363,0.2563879133278238,0.2828491033371254,0.2473483685057982,0.253030577665903,0.3022152907865554,0.3509537037673568,0.344960475661078,0.1131666152296148,0.1054758650465682
16,10.463659307619562,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/138_4_state_2_cond/131217/output_406/pdbs/308.pdb,5.235761956398591,5.227897351220971,0.2582084123695524,0.2682571901688515,0.2824729900044175,0.298194905528026,0.3252733607333312,0.3043089570878877,0.278263597151141,0.2879607596843908,0.11399005211111,0.1095353776996955
17,10.463722448490788,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/138_4_state_2_cond/131217/output_406/pdbs/305.pdb,5.236531809935872,5.227190638554915,0.2596859604419796,0.2658863209020208,0.2824729900044175,0.298194905528026,0.3252733607333312,0.3043089570878877,0.278263597151141,0.2879607596843908,0.11399005211111,0.1095353776996955
18,10.464075995707859,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/138_4_state_2_cond/131217/output_1684/pdbs/265.pdb,5.249461037440741,5.214614958267116,0.2649774933896405,0.2609625312254024,0.2860740344940279,0.2817598090522139,0.2496260893755817,0.2852415948651367,0.3310489710657431,0.3212026487802187,0.133250905064647,0.1117959473024306
19,10.46464222502193,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/138_4_state_2_cond/131217/output_1514/pdbs/246.pdb,5.243711795411741,5.220930429610188,0.2586912060280554,0.2585960728950625,0.2771849277682322,0.2830106620816784,0.2620077077196222,0.2488906588112152,0.3475575045272759,0.358015855958846,0.1132498599848696,0.1100828231482604
20,10.465122087356638,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/138_4_state_2_cond/131217/output_886/pdbs/234.pdb,5.229268476361475,5.235853610995163,0.2527150578804066,0.2771788015740912,0.3322927270091196,0.3039879462519471,0.3093458397923816,0.3295325327829855,0.2432413505728526,0.2538689829432228,0.1151200826256461,0.1126105380218445
21,10.46520020981514,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/138_4_state_2_cond/131217/output_683/pdbs/299.pdb,5.237435945234298,5.227764264580842,0.2525622331103383,0.2623525116329863,0.2975850746721978,0.2853551861989487,0.2773363746252748,0.2926248203948581,0.3121984675307682,0.3178665752548816,0.1128800831717592,0.1041534181513116
22,10.465827245660504,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/138_4_state_2_cond/131217/output_683/pdbs/298.pdb,5.237048519670366,5.228778725990138,0.2505407213998448,0.2606128127155195,0.2975850746721978,0.2853551861989487,0.2773363746252748,0.2926248203948581,0.3121984675307682,0.3178665752548816,0.1128800831717592,0.1041534181513116
23,10.466168415369445,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/138_4_state_2_cond/131217/output_1684/pdbs/266.pdb,5.248794688090311,5.217373727279133,0.262621470759929,0.2619804433015311,0.2860740344940279,0.2817598090522139,0.2496260893755817,0.2852415948651367,0.3310489710657431,0.3212026487802187,0.133250905064647,0.1117959473024306
24,10.466249268109259,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/138_4_state_2_cond/131217/output_406/pdbs/306.pdb,5.238559417838461,5.227689850270798,0.2606993162654363,0.2646493055452963,0.2824729900044175,0.298194905528026,0.3252733607333312,0.3043089570878877,0.278263597151141,0.2879607596843908,0.11399005211111,0.1095353776996955
