,xray_0_min_0,xray_0_min_0_rmsd_avg,xray_0_min_0_r_work_0,xray_0_min_0_r_free_0,xray_0_min_0_occ_0,xray_0_min_0_occ_1,xray_0_min_0_pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/60_7mhj_2/1018128/output_1/log.csv,5.553410597177154,0.798107976914961,0.2401002766000662,0.282495748426306,0.4172427136885674,0.5827572863114324,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/60_7mhj_2/1018128/output_1/pdbs/1023.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/60_7mhj_2/1018128/output_3/log.csv,5.585889096487831,0.7979695908394709,0.2460626975801958,0.301316928512688,0.5940256983339629,0.4059743016660371,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/60_7mhj_2/1018128/output_3/pdbs/1219.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/60_7mhj_2/1018128/output_2/log.csv,5.574052125097204,0.7690261289948976,0.2452817508714657,0.2939148913051127,0.3870573052831766,0.6129426947168233,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/60_7mhj_2/1018128/output_2/pdbs/419.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/60_7mhj_2/1018128/output_8/log.csv,5.567160070887802,0.8852180845353774,0.244425360295859,0.3008009230936253,0.4141015493803531,0.5858984506196468,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/60_7mhj_2/1018128/output_8/pdbs/1413.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/60_7mhj_2/1018128/output_9/log.csv,5.558447223260329,0.7843297264317804,0.2427807550599009,0.2984278765498732,0.5691296994262386,0.4308703005737613,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/60_7mhj_2/1018128/output_9/pdbs/1619.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/60_7mhj_2/1018128/output_4/log.csv,5.571965466185217,0.7638199919822156,0.2453949895882436,0.3017978448239209,0.6370217445177981,0.3629782554822018,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/60_7mhj_2/1018128/output_4/pdbs/1247.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/60_7mhj_2/1018128/output_7/log.csv,5.600405706598027,0.7046703611997885,0.2546405553619923,0.3043125355270634,0.7060806169338301,0.2939193830661699,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/60_7mhj_2/1018128/output_7/pdbs/1019.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/60_7mhj_2/1018128/output_6/log.csv,5.57686207876126,0.7887148907477634,0.2458904605921678,0.3046881937557769,0.3584150254304427,0.6415849745695572,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/60_7mhj_2/1018128/output_6/pdbs/1818.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/60_7mhj_2/1018128/output_5/log.csv,5.583543808060398,0.7914679412821667,0.2461338162164481,0.3091816671656395,0.6288943671075654,0.3711056328924346,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/60_7mhj_2/1018128/output_5/pdbs/836.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/60_7mhj_2/1018128/output_10/log.csv,5.614932410497969,0.8576749848317875,0.2575571250672444,0.3115409923380893,0.2784671952217659,0.721532804778234,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/60_7mhj_2/1018128/output_10/pdbs/1446.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/60_7mhj_2/1018128/output_18/log.csv,5.584846851414202,0.7973422317992209,0.2468863396872752,0.3049545189822181,0.6515587439935777,0.3484412560064222,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/60_7mhj_2/1018128/output_18/pdbs/1418.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/60_7mhj_2/1018128/output_15/log.csv,5.560221908928432,0.8710881127876889,0.2439727479612707,0.2945666630211491,0.5782124843830585,0.4217875156169415,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/60_7mhj_2/1018128/output_15/pdbs/826.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/60_7mhj_2/1018128/output_12/log.csv,5.5676263399275445,0.7933357409363291,0.2448107093388555,0.3050344686412701,0.6001214972094132,0.3998785027905867,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/60_7mhj_2/1018128/output_12/pdbs/1423.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/60_7mhj_2/1018128/output_17/log.csv,5.56452575365333,0.7831258090027767,0.2452863798704748,0.2961873393223655,0.6137733618720753,0.3862266381279246,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/60_7mhj_2/1018128/output_17/pdbs/1618.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/60_7mhj_2/1018128/output_13/log.csv,5.591811764720591,0.8877411838961802,0.2516757781408764,0.3013007261960946,0.6672235134288342,0.3327764865711658,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/60_7mhj_2/1018128/output_13/pdbs/1445.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/60_7mhj_2/1018128/output_11/log.csv,5.547387181943693,0.8650892448508849,0.2374657608737602,0.2949591783693162,0.5023682564960044,0.4976317435039956,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/60_7mhj_2/1018128/output_11/pdbs/1219.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/60_7mhj_2/1018128/output_43/log.csv,5.590463288647982,0.8481386738777201,0.2479330698782321,0.306655152021554,0.330822263817374,0.669177736182626,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/60_7mhj_2/1018128/output_43/pdbs/1634.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/60_7mhj_2/1018128/output_31/log.csv,5.564867029530313,0.8196346817055555,0.2444554333237908,0.2892234969001038,0.5003936016619808,0.4996063983380192,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/60_7mhj_2/1018128/output_31/pdbs/823.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/60_7mhj_2/1018128/output_20/log.csv,5.570146692456582,0.7780910811473266,0.2450465628930809,0.3027665451342159,0.365095855521359,0.634904144478641,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/60_7mhj_2/1018128/output_20/pdbs/1031.pdb
