,decoy,structure_0,state_0,w_0,structure_1,state_1,w_1
0,/wynton/group/sali/mhancock/xray/decoys/data/3ca7/weight/wrong_structure_right_weight/0.pdb,/wynton/group/sali/mhancock/xray/decoys/data/3ca7/53_100/rand_1000_2x_53_54/1.pdb,1,0.27000001072883606,/wynton/group/sali/mhancock/xray/decoys/data/3ca7/53_100/rand_1000_2x_53_54/1.pdb,1,0.7300000190734863
1,/wynton/group/sali/mhancock/xray/decoys/data/3ca7/weight/wrong_structure_right_weight/1.pdb,/wynton/group/sali/mhancock/xray/decoys/data/3ca7/53_100/rand_1000_2x_53_54/12.pdb,0,0.27000001072883606,/wynton/group/sali/mhancock/xray/decoys/data/3ca7/53_100/rand_1000_2x_53_54/12.pdb,0,0.7300000190734863
2,/wynton/group/sali/mhancock/xray/decoys/data/3ca7/weight/wrong_structure_right_weight/2.pdb,/wynton/group/sali/mhancock/xray/decoys/data/3ca7/53_100/rand_1000_2x_53_54/10.pdb,1,0.27000001072883606,/wynton/group/sali/mhancock/xray/decoys/data/3ca7/53_100/rand_1000_2x_53_54/10.pdb,1,0.7300000190734863
3,/wynton/group/sali/mhancock/xray/decoys/data/3ca7/weight/wrong_structure_right_weight/3.pdb,/wynton/group/sali/mhancock/xray/decoys/data/3ca7/53_100/rand_1000_2x_53_54/41.pdb,0,0.27000001072883606,/wynton/group/sali/mhancock/xray/decoys/data/3ca7/53_100/rand_1000_2x_53_54/41.pdb,0,0.7300000190734863
4,/wynton/group/sali/mhancock/xray/decoys/data/3ca7/weight/wrong_structure_right_weight/4.pdb,/wynton/group/sali/mhancock/xray/decoys/data/3ca7/53_100/rand_1000_2x_53_54/40.pdb,1,0.27000001072883606,/wynton/group/sali/mhancock/xray/decoys/data/3ca7/53_100/rand_1000_2x_53_54/40.pdb,1,0.7300000190734863
5,/wynton/group/sali/mhancock/xray/decoys/data/3ca7/weight/wrong_structure_right_weight/5.pdb,/wynton/group/sali/mhancock/xray/decoys/data/3ca7/53_100/rand_1000_2x_53_54/3.pdb,1,0.27000001072883606,/wynton/group/sali/mhancock/xray/decoys/data/3ca7/53_100/rand_1000_2x_53_54/3.pdb,1,0.7300000190734863
6,/wynton/group/sali/mhancock/xray/decoys/data/3ca7/weight/wrong_structure_right_weight/6.pdb,/wynton/group/sali/mhancock/xray/decoys/data/3ca7/53_100/rand_1000_2x_53_54/13.pdb,1,0.27000001072883606,/wynton/group/sali/mhancock/xray/decoys/data/3ca7/53_100/rand_1000_2x_53_54/13.pdb,1,0.7300000190734863
7,/wynton/group/sali/mhancock/xray/decoys/data/3ca7/weight/wrong_structure_right_weight/7.pdb,/wynton/group/sali/mhancock/xray/decoys/data/3ca7/53_100/rand_1000_2x_53_54/37.pdb,1,0.27000001072883606,/wynton/group/sali/mhancock/xray/decoys/data/3ca7/53_100/rand_1000_2x_53_54/37.pdb,1,0.7300000190734863
8,/wynton/group/sali/mhancock/xray/decoys/data/3ca7/weight/wrong_structure_right_weight/8.pdb,/wynton/group/sali/mhancock/xray/decoys/data/3ca7/53_100/rand_1000_2x_53_54/26.pdb,0,0.27000001072883606,/wynton/group/sali/mhancock/xray/decoys/data/3ca7/53_100/rand_1000_2x_53_54/26.pdb,0,0.7300000190734863
9,/wynton/group/sali/mhancock/xray/decoys/data/3ca7/weight/wrong_structure_right_weight/9.pdb,/wynton/group/sali/mhancock/xray/decoys/data/3ca7/53_100/rand_1000_2x_53_54/23.pdb,1,0.27000001072883606,/wynton/group/sali/mhancock/xray/decoys/data/3ca7/53_100/rand_1000_2x_53_54/23.pdb,1,0.7300000190734863
