,N,J,w_xray,r_free_7mhf,rmsd,r_work_7mhf,xray_7mhf,r_free_7mhg,r_work_7mhg,xray_7mhg,ff,pdb,w_0_7mhf,w_0_7mhg,w_1_7mhf,w_1_7mhg,w_2_7mhf,w_2_7mhg,w_3_7mhf,w_3_7mhg,cif_0,cif_1,r_free_7mhh,r_work_7mhh,xray_7mhh,w_0_7mhh,w_1_7mhh,w_2_7mhh,w_3_7mhh,r_free_7mhi,r_work_7mhi,xray_7mhi,w_0_7mhi,w_1_7mhi,w_2_7mhi,w_3_7mhi,r_free_7mhj,r_work_7mhj,xray_7mhj,w_0_7mhj,w_1_7mhj,w_2_7mhj,w_3_7mhj,r_free_7mhk,r_work_7mhk,xray_7mhk,w_0_7mhk,w_1_7mhk,w_2_7mhk,w_3_7mhk
10,4.0,2.0,1.0,,0.139527679316514,,,0.2296463774565896,0.1837459150355006,5.037066741045622,6193.374294696348,/wynton/group/sali/mhancock/xray/sample_bench/out/284_2_cond_4_state_phenix_ref_2/5/output_490/pdbs/1_7mhg.pdb,,0.3176690900346759,,0.1356765372473111,,0.3587850261865636,,0.1878693465314494,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhg.cif,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhh.cif,,,,0.3406627332613343,0.3611435373707325,0.1614186678808969,0.1367750614870362,,,,,,,,,,,,,,,,,,,,,
11,4.0,2.0,1.0,,0.4633165005258992,,,,,,5552.667073269216,/wynton/group/sali/mhancock/xray/sample_bench/out/284_2_cond_4_state_phenix_ref_2/5/output_636/pdbs/4_7mhh.pdb,,0.4328004516156196,,0.1994150730022844,,0.3157482361851085,,0.0520362391969875,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhg.cif,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhh.cif,0.2545733641199588,0.177924490584724,5.659220589339717,0.227126353554478,0.5059935486372821,0.0504621475847468,0.216417950223493,,,,,,,,,,,,,,,,,,,,,
12,4.0,2.0,1.0,,0.1307971463699096,,,0.230092697272306,0.1829152902017956,5.032637110342022,6871.881815163128,/wynton/group/sali/mhancock/xray/sample_bench/out/284_2_cond_4_state_phenix_ref_2/6/output_591/pdbs/1_7mhg.pdb,,0.2752625609395712,,0.2875436623264559,,0.1100773909522721,,0.3271163857817009,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhg.cif,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhi.cif,,,,,,,,,,,0.3257123354086659,0.253529922605098,0.2037872563064376,0.2169704856797984,,,,,,,,,,,,,,
13,4.0,2.0,1.0,,0.4442317389235637,,,,,,5084.351169038453,/wynton/group/sali/mhancock/xray/sample_bench/out/284_2_cond_4_state_phenix_ref_2/6/output_953/pdbs/3_7mhi.pdb,,0.0911403014654725,,0.2819901764665758,,0.2959240556267993,,0.3309454664411522,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhg.cif,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhi.cif,,,,,,,,0.2388464750897737,0.1822610162113237,5.098238696871388,0.0937604547478093,0.2124784750812837,0.3182842966774144,0.3754767734934925,,,,,,,,,,,,,,
14,4.0,2.0,1.0,,0.4378265787577113,,,0.2281979191121506,0.1821752157297174,5.00841849543627,6948.217043790532,/wynton/group/sali/mhancock/xray/sample_bench/out/284_2_cond_4_state_phenix_ref_2/7/output_389/pdbs/3_7mhg.pdb,,0.1774930055956656,,0.2229469389315471,,0.3012268572865612,,0.2983331981862261,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhg.cif,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhj.cif,,,,,,,,,,,,,,,,,,0.1711336632286285,0.2839150737311393,0.5062965814130036,0.0386546816272286,,,,,,,
15,4.0,2.0,1.0,,0.450635766441338,,,,,,5472.187563710065,/wynton/group/sali/mhancock/xray/sample_bench/out/284_2_cond_4_state_phenix_ref_2/7/output_253/pdbs/4_7mhj.pdb,,0.3857728346494367,,0.3225849127991659,,0.2244078992586061,,0.0672343532927912,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhg.cif,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhj.cif,,,,,,,,,,,,,,,0.2493692381830156,0.18464816877845,5.188263634063492,0.1169790123697024,0.3901309662698012,0.3508385167955289,0.1420515045649673,,,,,,,
16,4.0,2.0,1.0,,0.146560628307942,,,0.2293097592747947,0.1813596635660416,5.046056267660307,7058.270523756836,/wynton/group/sali/mhancock/xray/sample_bench/out/284_2_cond_4_state_phenix_ref_2/8/output_129/pdbs/1_7mhg.pdb,,0.21300101347827,,0.3699929968744104,,0.3312110064612549,,0.0857949831860647,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhg.cif,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhk.cif,,,,,,,,,,,,,,,,,,,,,,,,,0.3794999386683886,0.1832854119044773,0.434188065931869,0.0030265834952649
17,4.0,2.0,1.0,,0.4511398727878026,,,,,,5262.548677402415,/wynton/group/sali/mhancock/xray/sample_bench/out/284_2_cond_4_state_phenix_ref_2/8/output_418/pdbs/4_7mhk.pdb,,0.3399349130012802,,0.2059561226971507,,0.3304961350558104,,0.1236128292457586,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhg.cif,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhk.cif,,,,,,,,,,,,,,,,,,,,,,0.2555321155600913,0.1903115760712216,5.092289002776762,0.2185189375326621,0.3391973217214345,0.1856586218949928,0.2566251188509105
18,4.0,2.0,1.0,,0.643169792792631,,,,,,5356.83564389898,/wynton/group/sali/mhancock/xray/sample_bench/out/284_2_cond_4_state_phenix_ref_2/9/output_132/pdbs/4_7mhh.pdb,,,,,,,,,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhh.cif,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhi.cif,0.2558737931372407,0.1734113632397978,5.6314926322652665,0.3725430218079534,0.1144764987650401,0.3690639047925331,0.1439165746344732,,,,0.2233711096839743,0.2835596817813354,0.1606494708890462,0.3324197376456442,,,,,,,,,,,,,,
19,4.0,2.0,1.0,,0.5561181154605634,,,,,,5133.329891399128,/wynton/group/sali/mhancock/xray/sample_bench/out/284_2_cond_4_state_phenix_ref_2/9/output_607/pdbs/3_7mhi.pdb,,,,,,,,,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhh.cif,/wynton/home/sali/mhancock/xray/dev/38_standard_flags/data/7mhi.cif,,,,0.3487222082625852,0.2288683515557453,0.3876347360032146,0.0347747041784547,0.2392522628214953,0.1781927457824392,5.099728737690183,0.2683043532824888,0.3932648412940154,0.0472221787199071,0.2912086267035887,,,,,,,,,,,,,,
