,n,tot_min_mean,tot_min_std,rmsd_min_mean,rmsd_min_std,tot_min_rmsd_mean,tot_min_rmsd_std
0,1,149120.4976629496,2955.5324136873433,1.3605383351912088,0.20215183300388226,3.6971479051505822,3.3399371224793595
1,2,147856.77680438725,3168.9950132642575,1.240748519019041,0.16147881672438952,2.2951226641442,1.1678913910577369
2,3,146969.2704576529,3592.9391915878246,1.1845096152253127,0.1415991084950473,1.9697884463329576,0.5608500550220973
3,4,146361.84256887645,3537.485387361184,1.1533704894972363,0.12079505098326658,1.8476677360463085,0.38061747662660517
4,5,145707.55359949297,3822.4153421129495,1.1282200796092594,0.11354602242874429,1.761875335573583,0.29417628478371805
5,6,144842.66497844274,4013.3100556666814,1.1062244255472105,0.09657809404870235,1.707018812817822,0.24863600268409283
6,7,144675.32675759908,4028.5217077114494,1.0967841038231978,0.09577359793098589,1.6826672532041687,0.2319744096952137
7,8,144330.01992081618,4028.801120300903,1.0857162454760045,0.09008229053379395,1.6458231959666427,0.20478563268197236
8,9,143895.0991528505,4087.5607371827914,1.0680638450535898,0.08660063288976035,1.6234571032301415,0.2014422408674803
9,10,143637.57087033647,4064.709938237368,1.0657749348353163,0.08419430746471748,1.6024941062943998,0.18944999645509297
10,11,143208.28590905416,4209.27681749677,1.0540209916032108,0.08314204425519481,1.5904342218845486,0.1928845087955204
11,12,143113.6290998262,4141.48897268525,1.0506780039699484,0.07920909263951097,1.585589893493209,0.18624822949685846
12,13,142880.92793974333,4097.972605481241,1.0480327967971799,0.0764539645015986,1.572724691535635,0.17871894196315227
13,14,142459.59961105706,4187.268557375585,1.041497011244791,0.0774119733755244,1.5588262096083918,0.17578061648051752
14,15,142318.72613750203,4090.568323118756,1.0406201949554188,0.07710458876169049,1.5432562798023508,0.16423373706572922
15,16,142239.67162612622,4061.696607452356,1.0313313915940308,0.07076886343842496,1.5218429306925818,0.1613090117159907
16,17,141881.60857709963,4035.4273083064045,1.0270493326668955,0.07062701149338152,1.522989891931593,0.15994938790839042
17,18,141378.9400688303,4030.0874772736856,1.022966512061769,0.06985544192350468,1.513803049011286,0.16054860402551063
18,19,141412.27334112526,3946.8567053538345,1.021261733676431,0.0707078338157757,1.499425393135041,0.14845673646084273
19,20,141218.6988023863,4045.3574268572143,1.0167768446188468,0.07281369719533645,1.5017297793631927,0.15196295583510674
20,21,141175.80863462592,3886.571648681034,1.0168424919162191,0.07060724449599315,1.4964375502346474,0.1478569979951343
21,22,140972.46815434765,4000.1382804363184,1.01388365167235,0.06714829734914132,1.483357488393522,0.14537143083215445
22,23,140615.21783715938,3903.352273592639,1.0067897135644626,0.06900714457356336,1.4800414530689945,0.14225712914125105
23,24,140826.5525021487,3820.215010128865,1.0045709278409563,0.064468930188671,1.4777346090254972,0.1411521586798634
24,25,140399.00315515095,3878.957796161555,1.0001289993947806,0.06705007655958449,1.472782691169135,0.1422199739518657
25,26,140376.3649085092,3775.148739855138,1.0009917631354233,0.06639177035871013,1.4577489907354848,0.13904611822055
26,27,140261.19556750855,3695.547826345284,0.9978488067998369,0.0644669124051469,1.4565633115226893,0.13895767251992114
27,28,140103.6177167111,3769.407820583114,0.9992612011104668,0.06649368040678844,1.4545194873400473,0.13412095658403017
28,29,139922.6771487922,3653.4662532473435,0.9957163458523133,0.06493686396615833,1.4511483590948853,0.1307166509103823
29,30,139734.7401169939,3662.2965379561506,0.9948446185338853,0.06376541854903617,1.4440170006496074,0.1327801530517364
30,31,139742.08756055468,3729.850691459844,0.9884182885302123,0.06518901780463397,1.446335279689524,0.13106129497864888
31,32,139716.30366298032,3721.193241700334,0.9902495214471624,0.06380332976701523,1.441621159198617,0.12335468459343789
32,33,139456.49244027538,3653.8912460577635,0.991542120046971,0.06229701969102199,1.4290733548486547,0.11926877742704915
33,34,139543.6184461206,3581.317751329274,0.985773897661433,0.06263131074573977,1.426611043159639,0.12158690634700892
34,35,139254.65688779647,3553.53129671543,0.9851654766838701,0.06387012451750103,1.4251715377420473,0.11891801463559995
35,36,139454.9147518001,3587.392952757162,0.982647173829303,0.062241312695781904,1.4206961868277794,0.11526774518796819
36,37,139148.86467202264,3526.379278600194,0.9818083202076043,0.06177309471933183,1.428617506994632,0.11937917816169026
37,38,139152.9121390946,3490.7071974558,0.9847523681197943,0.06153053706343018,1.4164645760885834,0.11299803260885499
38,39,139014.90723247748,3432.7223236117275,0.9785221754305657,0.060498301280182534,1.411840296372122,0.11147529500586953
39,40,139002.84438107748,3494.4557565879977,0.9783408136710022,0.061813177193956986,1.4146636380047606,0.11674926135922004
40,41,138840.99692819527,3379.1646255272267,0.9775894126149954,0.059402893986867725,1.4108508105616566,0.11278740360718868
41,42,138637.07806983424,3312.6964838153713,0.9739351813044882,0.06059386799261229,1.4089843941741316,0.11162816003133069
42,43,138784.273534184,3551.9457653976324,0.9751568696315407,0.05968630148124686,1.405663218922134,0.1092032812925264
43,44,138795.9995184819,3355.18370326921,0.9737166122448896,0.06037531900940026,1.4045806388981155,0.10786521709844009
44,45,138659.9046116399,3407.57551715372,0.9722540702258714,0.05795175860710045,1.400023123529781,0.11159125391705448
45,46,138482.0111388515,3362.3832281396617,0.9713354517725311,0.05908365517047111,1.3973190146584613,0.10797601885581878
46,47,138560.29524385298,3221.7774665280213,0.9688548771641208,0.059723370598918316,1.40082290824586,0.10742049570398218
47,48,138430.46780146204,3211.022897917793,0.9704130760152514,0.0582765749137565,1.3949637817472058,0.10611335564797918
48,49,138398.83910447062,3295.3034951126847,0.9673601944471966,0.05914563837809696,1.3923692372173586,0.10269982255308174
49,50,138194.08304663058,3201.628641670279,0.967524795463758,0.058133292595345165,1.3906025284479577,0.10456402195077875
