,job_id,xray_min,xray_mean,xray_std,rmsd_min,rmsd_mean,rmsd_std,rmsd_align_min,rmsd_align_mean,rmsd_align_std
0,0,0.0,5.961268289283784,1.4410648628950034,12.81257113325304,5776.97268635343,148559.9258620925,10.749539072856644,5759.411994081891,148556.8820614822
1,1,0.0,6.144845158161099,1.327299084136193,3.412223587408304,1308.6293346422212,8571.226889133792,3.3871478660090264,1280.500601938709,8574.824753148403
2,2,0.0,6.194037067879636,1.2635393665154036,4.265026358753097,4875.693121039393,31072.35996495728,4.193287826613014,4838.500911462504,31076.764804026057
3,3,0.0,6.410864028026612,1.0922181831930369,5.851450578813233,34789.843306708855,428017.842907632,5.596757696448123,34763.70216399511,428011.46543672425
4,4,0.0,6.463476975020007,0.9847681660776443,4.558468192312438,35284.243273592176,508138.9007783605,4.351337301719164,35268.09011938951,508112.39790607704
5,5,0.0,6.685395814335063,0.6051731090251149,2.5989148992423,10533.335532506188,68171.47779297346,2.4484812690974245,10501.917735058472,68174.80799612904
6,6,4.852590664101133,5.656503164022674,0.3568746641362374,1.8456993454389148,34.09682064747194,44.95177341968246,1.7210874826415006,2.3921180537442446,0.5456215041151105
7,7,4.693180365432946,5.210915736368202,0.22602040151429367,1.5463778194484452,16.303390739954903,17.783171539695434,1.4360158137922805,1.956791497566693,0.23979561047294612
8,8,4.588506029334445,5.115939868000503,0.18030174581333816,1.2321770793734352,13.86491666756924,12.593580235104517,1.199755076599254,1.5864721969261781,0.23280900217224693
9,9,4.652425719405169,5.0003122427743225,0.08197316939425307,1.201138767119233,11.615242018809942,13.578720610123478,1.1698784204216937,1.4896995426509685,0.12996374276621053
10,10,4.547104941303961,4.913506445945786,0.094461765657734,1.1454801331825153,17.63117064790945,22.49301660171033,1.1194173027612002,1.4538921987549271,0.1287102301309527
11,11,4.172678412100408,4.832259272602696,0.11954437830926296,1.229612593781017,24.620600455690667,30.536525528279537,1.161353230384503,1.4983345732984854,0.1622811281304929
12,12,4.152220726235836,4.711657236916097,0.14549975737699475,1.2265868466327166,39.3472527481379,34.839655627256185,1.1929501097398985,1.6267232203362663,0.18524702217691077
13,13,4.102141726174385,4.555128825596202,0.15845861806966177,1.303701855782465,29.68423631860746,36.696685992511405,1.245724186746644,1.7933620371555583,0.1677820398909019
14,14,4.09741019493964,4.503955974017373,0.15585804320166818,1.3441401307481289,17.900012671530966,20.988578214670845,1.292360852512392,1.8513650321390793,0.1545087807407525
15,15,4.087361414994268,4.449423841031749,0.12713216306868846,1.5335186777264238,20.33936475322446,19.94029210770564,1.359388669549011,1.9678096982750926,0.19340167995274588
16,16,4.097782421883827,4.421976008237555,0.09583163040558368,1.6057627920523323,16.184786416061577,16.233567712788087,1.4753912295543596,1.9936391791859616,0.16139281940313663
17,17,4.183001049740045,4.42950299957498,0.06938714085693924,1.5904308733213453,11.151960468811438,13.717911864364321,1.5148542005585883,2.04342966092936,0.14066091978695422
18,18,4.156550707101407,4.43814665324954,0.07793274761295604,1.603901598333032,11.277207129316315,19.4905892950735,1.5127876375710858,2.0491035021656994,0.14724028057152444
19,19,0.0,4.4997780360210315,0.37385265647205523,1.6724743318905342,29511.648083664564,217275.28407512826,1.597020705678611,29500.805524222527,217271.99349566098
20,20,4.212987727765238,4.482836671091744,0.06787007741409502,1.573277178331537,8.728799437042303,9.511581342279467,1.5423480228829702,2.048298886567716,0.12513555161064813
21,21,4.189452898741205,4.490430882500442,0.0665964242828922,1.4895507601278948,8.06456935070426,10.40743338059425,1.443479660036359,2.0504002942802795,0.13578295144320476
22,22,0.0,4.5266219191853905,0.286754577333727,1.630629455691277,16018.512299062044,109158.4143400882,1.5727515110546495,16012.549312862582,109152.1168280607
23,23,4.231524948836015,4.515822178087373,0.07283369972294883,1.6738798812312086,5.295308696599715,7.6830697464747715,1.615189451555187,2.0844853184559136,0.15654551816835832
24,24,0.0,4.613294517203451,0.4359905203740888,1.607324283584228,470.87642924093865,2747.2995666699835,1.595403815726814,469.0066795198535,2745.669598995508
25,25,4.190941927159639,4.551314356173681,0.07931117454862335,1.7302312045395365,5.005020849247043,6.234246177598828,1.6182208567967429,1.9839536381641825,0.09665094290366319
26,26,4.254717762319311,4.549351570246777,0.0815001104516372,1.6554599961603678,5.631461924487509,5.742327463757549,1.6418846784191574,2.0866744212392794,0.14304680980948675
27,27,4.2442699255596965,4.582254425062755,0.08417689048487001,1.67482568215471,5.358408234732569,5.821765096032161,1.6277078936786724,2.0588052810020607,0.12521673022778118
28,28,0.0,4.624587329129458,0.3011894208653128,1.736587082907929,15.468826491975742,80.46295590848099,1.5272971547456966,13.53434245775554,80.37362130426641
29,29,4.278742985217933,4.593192250307585,0.08450429577037995,1.7192107129623195,4.665280528494339,4.319236174440402,1.599283911648372,1.9955744686313843,0.13361677115418324
30,30,4.226953564154033,4.602611973660935,0.09041030094794461,1.709538330650015,4.889432527633029,5.405562899483623,1.601383420552349,2.022437173879881,0.13653564922970648
31,31,4.302874723449482,4.6107214517577,0.09298550855211107,1.4821004343323323,6.031960591870322,6.5993657425648315,1.4488235789700672,2.0262951178967397,0.12458824640246761
32,32,4.248239685654153,4.6148583715313425,0.09617612495915615,1.70601473241283,5.146517245655986,5.863936070444806,1.5929374714337523,2.045399449848922,0.12892501705303278
33,33,4.278013539419865,4.627357194847937,0.10354720769386005,1.7420666896351746,5.0011279799979,3.6910939715834052,1.623026911767169,2.03518279536066,0.1240391711215935
34,34,0.0,4.666458272133374,0.2745273035845764,1.5966945949302052,94793.89571234287,1332506.589210469,1.5098940018011715,94789.16004231141,1332479.9187964578
35,35,4.29012970028597,4.6467696095559266,0.11014608757489741,1.6000600182769518,3.611101458445376,2.894623800599695,1.5794477255874582,2.0557269055941925,0.15928829523265378
36,36,4.273512261590854,4.6635818414225465,0.11877633090878831,1.6181704824528784,4.003621927202406,2.808033123883289,1.5986743297165031,2.0214724928807546,0.12153582671472576
37,37,4.258933371092147,4.666205415852848,0.11940892213159406,1.6751930502270826,3.779974935872182,3.024206664534248,1.6281560537068254,2.0341915958532786,0.142599180773852
38,38,4.293566175793617,4.675620287774337,0.12396213301080378,1.6057844712668978,3.3434862209061196,2.0756884248917644,1.526888665515574,2.0722628643008107,0.1284081241538127
39,39,4.268695594323992,4.677255685948504,0.1235480668792173,1.6800669277017568,4.138088838446727,2.7988297149617707,1.5515179668162116,2.087472794254372,0.1401083329763325
40,40,4.312529442589892,4.700036938478164,0.13806234585717225,1.6279238143812964,4.276910397693255,4.014347162113112,1.5875049597166622,2.058606583064416,0.14320919745885913
41,41,4.296820360011591,4.705135370132683,0.13395146451809722,1.6147351321080452,3.273420671359258,2.083533632329611,1.5734030719070389,2.045666050399016,0.1366607717059307
42,42,0.0,4.735553490543835,0.33343661696403665,1.6180359651819085,3479.578997031331,40965.45876400355,1.521923846253766,3477.4547843797463,40964.79585016017
43,43,4.256911050600557,4.721836230927274,0.14630614669954595,1.5854862376638537,4.137350699891937,3.3117980620996934,1.4776629065462237,2.01399386745237,0.11435470924591787
44,44,4.312289405858447,4.7312223562899325,0.14338533856978347,1.5638392538087011,2.992088712786136,1.5993573698306875,1.4530411823006035,2.0180546691895103,0.14342207318000266
45,45,4.1855080036520365,4.748881175517241,0.15645357278461328,1.700444331308205,3.11330836016913,1.6709504713205987,1.6306788325677133,2.0547095395463613,0.1335308866240137
46,46,3.6459597840182822,4.770926891036318,0.27272438643772895,1.5984998519894764,15.25300947695153,209.5084976848171,1.5254881295126486,13.806910109387344,209.50465446483935
47,47,4.298435033494421,4.76363755738445,0.1623192015444578,1.706563590936836,4.176230669913879,2.9232079441787624,1.6582667114884475,2.0465885608694467,0.11622785822811932
48,48,4.341114365861525,4.764600553603853,0.15263907405760216,1.5827060480697943,2.8278504726422753,1.104610318419249,1.536395112876347,1.9964108040898632,0.11420558274217164
49,49,4.245158989131709,4.776304424298471,0.16286439193137092,1.5322796350197296,2.8010880924103083,1.0532094194816877,1.4990084665411894,1.999979071509291,0.14776834622377977
50,50,4.315031427797939,4.778898778142822,0.16701165328198608,1.5591441286914711,2.896332653277253,1.1843696835846205,1.5299102586054425,1.9933785733638436,0.1132022440426665
51,51,4.297506935802256,4.788730102789928,0.1694597084401984,1.5977343799255612,2.444110458099891,0.6876430938034025,1.578176405053994,1.9758587815678068,0.1270046294117602
52,52,4.291176596514095,4.797587451967535,0.17201037506881003,1.646527661659513,3.07540775602367,1.2646953272401469,1.555202695701572,1.9965876143689898,0.1284792545218584
53,53,4.291027633407677,4.808185042666373,0.1748663645874747,1.6196274157248225,2.6087869778354538,0.739864863081478,1.5118799532730944,2.0010853902342842,0.1119657061465647
54,54,4.282207751610065,4.810269710006346,0.17783492383528227,1.6356072305993434,2.912064605918874,1.3893945222881559,1.5294520983628506,2.0093624004094193,0.12144967548376003
55,55,4.278428609216981,4.824879002372337,0.18701175457708102,1.5755165058544744,2.507188493702235,0.5887903766207505,1.5508934617032946,2.027831851653647,0.14014570027415826
56,56,4.259414705711236,4.815339699573156,0.1870702214460054,1.6736313531063098,2.780975308325117,0.9594024920182841,1.5258152003187309,2.0164965162446538,0.11007857022139371
